nPsoRun,n_iter,S,fgbest,optDes
47,255,300,-59.00076780423457,[0.7318366052884108; -1.0; -0.001468918482019812; 1.0; 1.0; -0.0021023705111838506; -1.0; -0.7322615774777633]
48,729,300,-59.000972999643714,[0.7320781453938086; -0.0006020197006264571; 0.0010765487438305873; -0.999999999971744; 0.9999999999999372; 1.0; -0.7320220840533476; -1.0]
49,123,300,-58.99355887910896,[0.010141226887700005; 0.999999489027855; 0.7327171008756799; -1.0; -0.7312609813195129; 1.0; 0.0014038559423524902; -1.0]
50,140,300,-59.00055884158964,[-0.003319686155969907; 1.0; -0.7320551065629369; 0.0031107242951647174; 1.0; -1.0; 0.7320307999106239; -1.0]
51,531,300,-59.000432701142294,[-1.0; -0.7315890214144279; -0.9999999995063006; 0.9999999966674114; 0.0038532270731446733; 0.0038314500852723397; 1.0; 0.7324969458028927]
52,223,300,-58.99980856235594,[-0.005707788073156377; -0.7323583292677793; 1.0; 0.7317057370968963; -1.0; 1.0; -1.0; 0.00018483417674677817]
53,257,300,-59.00026499113384,[-1.0; -0.7315341069431132; 0.004346897879389925; 0.7325476785724984; 0.9999999837958473; -0.9999998337634152; 0.004234424079454541; 1.0]
54,518,300,-59.00101100183706,[-0.00026495186423699374; -1.0; 1.0; -0.00026335557604706324; -0.9999999996381405; -0.7320819795021636; 0.7320195621646939; 0.9999999996008146]
55,1064,300,-59.00092754009123,[0.999999999998303; -0.999999999992476; 0.0015992929364953953; 0.7320545000203015; -1.0; -0.0015100714379515283; 1.0; -0.732043959097582]
56,819,300,-59.00091967195293,[0.9999999937776296; -0.9999999907401159; 0.9999999999243091; 0.0016066153051622607; -0.7319786748912765; -0.9999999964044699; 0.7321199296106494; -0.00041094564889712594]
57,233,300,-59.000633974909356,[-1.0; 0.0028499334665137684; 1.0; -0.7317393666811433; -1.0; 0.73235471513373; 0.0023459351959112806; 1.0]
58,531,300,-58.999784131141155,[-0.7326962274652692; 0.9999999999963795; 0.7313722819755126; -0.005599738585133773; -0.005606152944517527; 0.999999996072301; -0.999999999827016; -1.0]
59,465,300,-59.00088372229693,[-0.999999995572775; 1.0; 0.9999999749359094; 0.0007883295240259778; -0.7320876004634067; -0.9999996776156228; 0.7320126062062867; -0.0014036292826119594]
60,938,300,-58.99708560851982,[-0.010022522838339371; -0.9999999999956265; 1.0; -0.010022524360855498; 1.0; -0.9999999999960147; -0.7331821020518318; 0.7308137397522794]
61,671,300,-59.00100993795676,[-0.999999996959288; -0.00031003314941066475; 1.0; -0.9999999974031023; -0.00015010145481377798; -0.7320779398338618; 1.0; 0.7320235709245614]
62,1735,300,-59.00094014859879,[1.0; -0.7318877295810667; 0.0013716358928639047; -0.9999999999999997; 0.9999999999999931; 0.7322119027061349; -1.0; 0.001372195776875809]
63,649,300,-59.000997216504906,[-1.0; 1.0; 0.00022030084796097633; -0.7320776880016062; 0.7320233836944582; -1.0; 1.0; -0.0006799388942394804]
64,963,300,-59.00083917627205,[1.0; 0.9999999998142064; 0.7322970892673598; -0.9999999916306114; -0.7317998470126803; 0.0021088405916351183; -1.0; 0.0020999386559705006]
65,447,300,-59.00080964022078,[0.9999999709404169; 0.0015793555106341844; -0.9999999997456622; -0.0014099786460747086; 0.999999999999738; -0.7320397210434576; 0.7320576525689254; -1.0]
66,1047,300,-59.00065065642257,[0.999999999999997; 1.0; -1.0; 0.003047097301692689; -0.9999999999999922; 0.0030470973339152842; -0.7316859148476214; 0.7324059231107674]
67,896,300,-59.000892401998094,[-1.0; -0.0017579529431543028; 0.9999999999949851; 1.0; -0.001758058213264942; -1.0; -0.7322568742951178; 0.7318414727510716]
68,956,300,-59.00087959218906,[0.0018693404616557379; -0.9999999965489791; 0.0010462259383436751; -0.7318766653160219; -1.0; 0.9999999999692974; 0.9999999939978669; 0.7322211325103819]
69,626,300,-59.000982854844075,[0.0008944787108236189; 1.0; -1.0; 0.7321430464495339; -0.7319577074540414; 0.9999999999999734; 0.000674248767209354; -1.0]
70,1022,300,-59.00020753165275,[-0.9999999999994892; 0.004540377752114646; -1.0; 1.0; 0.00454039117068134; 0.9999999999999548; -0.7315035194809784; 0.7325763873681501]
71,631,300,-59.000638817827614,[-0.7324114252413256; 0.7316801058105138; 0.9999999980311546; -0.9999999999361795; -0.9999999997857821; -0.003094924969709115; -0.0030950644849220975; 0.9999999961531956]
72,367,300,-59.000953496942714,[-0.9999999854057067; -0.0006938243506025144; 0.7319663117604002; -0.7321351971966964; -0.0007360906918667434; -0.9999997280709975; 1.0; 0.9999996683976734]
73,891,300,-59.000484080161364,[0.9999999999995574; 0.7316089355509053; -0.0036790909489577707; -0.732478416871219; -1.0; -0.0036802364254636655; -0.9999999999998168; 0.9999999999995864]
74,590,300,-59.00098514629469,[1.0; 0.7319539330621134; -1.0; -0.9999999999999879; -0.0007915091618059871; -0.0008421140630708309; -0.7321469488851761; 1.0]
75,693,300,-59.00086820686283,[-0.7318342688188628; 0.0017096996868319306; 1.0; 1.0; -1.0; 0.0019222335560373847; -1.0; 0.7322634153687781]
76,383,300,-58.999221501396455,[-0.006743009679488231; 1.0; -1.0; -1.0; 1.0; -0.7328136204056984; -0.006578589542316168; 0.7312402982074154]
77,201,300,-59.00024411349624,[-0.9999949303269547; -0.9999955191553117; 0.9999984031617989; -0.7320453415454566; 0.9999993438395907; 0.00021622477123077444; 0.7320655003978535; -7.18392885572936e-5]
78,1010,300,-59.00089464018835,[0.9999999999961817; 0.7318429998483291; -0.0017452770529904655; -0.9999999999267106; -0.999999999971963; -0.0017453759698088116; -0.7322554074315343; 0.9999999999980854]
79,595,300,-59.00095413642475,[-1.0; 1.0; -0.0010446058725022353; 0.7319559215498654; 0.9999998650318017; -0.000552356610609889; -0.7321447174067686; -0.9999998858722212]
80,1053,300,-59.00096461318212,[0.9999999999157345; -0.999999999999998; 0.7320829537913385; -0.0006186276922317297; 0.0011768066890291734; -0.7320170013277617; -0.9999999999838537; 0.999999999997652]
81,934,300,-59.000859964748216,[-0.999999999650665; 0.9999999967808979; 0.0017549848192071147; -0.002119710660642628; 0.9999999992170285; -0.7320696042588338; 0.7320265208819698; -0.9999999983943553]
82,81,300,-58.84950275023711,[-0.7297148577365141; -1.0; -0.064976961407022; 0.7293083959068823; -1.0; 1.0; 1.0; 0.06516559560469971]
83,806,300,-59.00096333389801,[-0.9999999999995143; -0.7321389631986259; -0.0011583822118018932; -1.0; 1.0; 1.0; -0.0003466266823895841; 0.7319611524976317]
84,1036,300,-59.001008322777906,[0.732055820326193; -0.0003126346935932337; 0.9999999999966257; -0.9999999999924333; 0.00039913523670195703; -1.0; -0.7320456006850982; 0.9999999999987907]
85,431,300,-59.000868104116186,[1.0; -0.7318553599835437; 0.001943955643909086; 0.0013299612055491605; -1.0; -1.0; 1.0; 0.7322421705578268]
