nPsoRun,n_iter,S,fgbest,optDes
21,2257,300,0.5892500914366267,[-0.9999999969657165 -0.9999977193443084 -1.0; -0.9205131517587763 0.9999997032597409 -0.9999997343210334; 0.9564653122090825 0.19251533167454163 0.011520810558372308; -0.12183994309463389 0.9999960320167023 0.9999999074369387; 0.9999293838782178 -0.9997687039679088 -0.9999992491225465; -0.12013608095864389 -0.06724549250005019 -0.9944424708435371; -0.8129230320307627 -0.9999969571690528 0.75585864855948; -0.08852224377926189 0.11016601955897637 0.03807572088917326; 0.9999856803483097 0.9999395380438019 -0.9999584851663958; -0.9999788540454815 0.9999561130522391 0.24844566010439387; -0.9999870522830114 0.13451629291598455 0.9999999651854184; 0.9999985987033783 0.9998737552794439 0.9999674807157382; 0.9999980757825069 -0.9485815040524246 0.9999601647560222; 0.4320122005940891 -0.9999997126737207 -0.0842199224255349]
22,4663,300,0.5731289322121554,[-0.9999999998460551 -0.007482388394605719 -0.25788916579580373; -0.45336790164008894 0.9999999996711456 0.24086657339683096; 0.9999999998470634 0.980386624878636 0.9969106197813434; -0.7972928246336679 0.932497549989915 -1.0; 0.9999999936980336 -0.999999995631434 0.999924544664788; 0.9999999983224557 -0.39224743965552644 -0.4047235329492464; -0.9999999888813241 1.0 0.9999999994200847; -0.999999864087109 -0.759811076169309 0.9999999595491219; 0.004499118857080668 0.08393469205143335 0.048900492033863194; 0.9634495034360643 0.9999999999473294 -0.89039984699901; -0.9999999993691223 -1.0 -0.9673126494813061; 0.30821141247996203 -0.5585278724133478 -0.9999999998616316; -0.003964306273191139 -0.9999991647751835 0.22835575392571308; 0.16609120466042754 -0.0014225237385682187 0.9999999885160683]
23,4754,300,0.5813554605983671,[-0.8490502118797166 0.14329861646473466 -0.9096236116317358; 0.9999999988821239 -0.9999999964333839 0.33126484710255927; -0.23058711854246622 -0.9999999986418806 1.0; -0.9999999999179724 -0.9999999997783107 -0.8753956548481917; -0.2125731517497539 0.999999999998304 -0.8439368001649308; 0.9999999999239271 -0.0058114776759202996 0.999999999859479; -0.9999947121078936 -0.4680145303532369 0.6564439561453088; -0.9999999999975787 0.999999999474945 0.562542326657926; 0.999999999523059 0.5252083784695182 -0.9999999987424637; 0.0707839482484313 0.9589262043019985 0.9999999995990563; 0.9365356219664837 0.956736252364902 0.0547758842739971; 0.026715595063032112 -0.08466561953645964 -0.03855448994851015; 0.026555778972676608 -0.08495539550425235 -0.036703213173940825; 0.510861512825195 -0.9999999996601634 -0.9999999995505054]
24,2771,300,0.5735890842751332,[0.7475038910406364 -0.999999999971293 -0.5337567644434932; -0.9999999438593954 0.5745755204999242 -0.822447971178875; 0.8893837613398563 -1.0 1.0; -0.04788249934579245 -0.05118590197192232 -0.05430548001413914; 0.14186648845359273 1.0 0.9904206295944649; 0.9999999992749716 0.09007136392532814 0.761460534494605; 0.9999999689449102 1.0 -0.2921324371083046; -0.7658654569906116 -0.35543012054281126 0.9999999880553774; -0.9999999944328689 0.9999998444211631 0.6044004084256465; -0.04505338387559492 -0.04788373909896277 -0.049037284044404016; -0.9832975942173122 -0.999999873961609 -0.9999999873176983; 0.9999999809985137 0.01054680273537689 -0.9999999873861802; 0.026812567384465198 0.9999989631839271 -0.9999999709115049; -0.9874874954981087 -1.0 0.18815377256572405]
25,2589,300,0.5760678039873818,[0.9999983457081556 0.9999989063909226 0.8498634503132293; -0.8201164982390161 0.9403709615962936 -0.9999999994771147; -0.3769190234154186 0.8010094842178206 0.9999999978682955; -0.9999997685451185 0.9847369920361573 0.09577865062938204; 0.10817891874779564 0.13320232152768752 -0.010983573388620906; -0.9999999866008238 -0.6705180047640221 0.9999985556466894; 0.99999999101508 -0.9999999310118172 -0.27758586063907786; 0.8718670098757778 0.9999996594293027 -0.8730249433762811; -0.32155497832824553 -0.9999998078040798 -1.0; -0.061486978945940525 -0.9999998640259151 0.6886805906232755; 0.8512590872042675 -0.2026122769797148 -1.0; -0.9999993751538158 -0.5437779778582326 -0.4707007776282966; 0.1103560090974896 0.12648748564173648 -0.01496929214030315; 0.9999998801821579 -0.39144621033136306 0.9999999825883179]
26,2748,300,0.5784982692505285,[-0.9999840569239976 -0.7789070818838043 0.9296955536343234; -0.2076226565215301 -0.09624919609954626 -0.07393334740585723; -0.9999999353758395 -0.9585447072188639 -0.8021461942552784; 0.9999947874930061 -0.055686860013086974 1.0; 0.5674154106732732 -1.0 -0.9999999068373322; 1.0 0.9999999950678117 0.5179189250079701; 0.9999999954728072 -0.7361538471886271 -0.004032502406377105; 0.9999997598198662 0.3241358533636002 -0.9999925368988885; 0.26256285528235607 -0.9999995404204679 0.9999999616513732; -1.0 0.7873245665566327 -0.9999976580212934; -0.9999636767954067 0.9999893877908208 0.5416713377628377; -0.1769841866713903 -0.1077477445919739 -0.09205414128203492; -0.2341008849051898 0.5052874200657431 0.9999992977575299; 0.2040156852339939 0.996854430803147 -0.7203143480240881]
27,4990,300,0.6068439400754553,[0.1632839527077196 0.12948141710613634 -0.09309991216442369; -0.41312435008243353 -0.9999984996353686 -0.999990638541725; 0.05282259233949969 0.747846364477381 0.9999980787212297; -0.0413335788764911 -0.37194415596601144 0.9999999988449263; 0.9999998975632384 -0.5507078236942684 -0.9999999091308733; -0.5766616567086421 0.999999992586549 -0.9049886168447606; 0.42192039202046305 -0.9825661724482421 0.037503856403805616; -0.9999999999998563 0.9999999882832858 0.9999999970567914; 0.9999983679396459 1.0 0.6979034963976738; -0.8840417077626775 -0.0032134517740334124 0.07339692829241254; -0.9999997981613616 -0.07645451724789305 -0.9999999994746538; 0.9999969270729641 0.9865796934753207 -0.920834241630107; 0.9999999849586182 -0.9844674486179382 0.9999944769030719; -0.9999940038445897 -0.9999980256847056 0.9999963971938381]
28,2299,300,0.5744718523687028,[-0.14585784820095396 -0.10798281528004999 -0.06084661351103789; -0.9999998299629141 0.5758774059019004 -0.9999994618219852; -0.1439438620771158 -0.10312435097292946 -0.056275900474659794; 0.9999875380974316 0.013004922003265086 -0.9861468085702162; -0.6857940426282376 0.9999989024001995 0.02097131912261418; 0.41379725249037647 -0.5260350692006724 0.9999971418851776; 0.5487642446809641 -0.9999997364045741 -0.8474100824050828; -0.9999350755854828 -0.9999638352158232 -0.8008902374721332; -1.0 -0.999999459015238 1.0; -0.996474748282107 0.39889288432672354 0.9999989729601966; 0.30415432783828 1.0 -0.9999990044409431; 1.0 0.7064055457364524 0.1972201012276539; 0.5590972402598932 0.9999999106019289 1.0; 0.9999746171882282 -0.9999609098691589 0.4994707144441029]
29,2966,300,0.5607494196180212,[0.9999999982001117 0.07398211457741072 -0.019321720022716735; 0.9331246185490861 -0.9999999997393588 0.9367330526011224; 1.0 0.9999999883033875 -0.9999999988776952; -0.0002004745624425443 0.9999999797384219 -0.008729455780351477; -0.9999999109157287 0.10213316619290365 0.04989346736934309; -0.024779866163446438 0.04679595699611079 -0.9999999964963997; -0.999999999922589 0.9999999980018643 -0.9999999940088695; -0.9543295673601633 -0.9999999964298866 0.9730270059770739; -0.9999999999692792 0.9999999998027296 0.9999999999682923; -0.9630422103068619 -0.9999999999961205 -0.8766340634076036; 0.9999999998081486 0.999999994687206 0.9999999972492679; 0.020916726527309127 0.0834219350469238 0.9999999237252521; 0.019760388539123094 0.8013426082287947 -0.015217749704619301; 0.8782140086598308 -0.9999999953378649 -0.8966983464502779]
30,2022,300,0.5876839581217121,[0.2683515024082795 0.2379232658514999 -0.9999997257782881; 0.9999999537366019 0.9999988662869906 0.9999999974228116; -0.9999999942696229 0.9999999715553465 -0.9999998221169362; -1.0 -0.14891463441906877 0.9999997765421711; 0.9999997601893871 -0.11014783675336767 0.08563614198012467; 1.0 -0.9836057592900936 0.9999999186582583; -0.9999999788706222 -0.9999998846274476 0.23280067072906874; 0.9999999748781765 0.9999999936030554 -0.9999999851877014; 0.9999999882655075 -1.0 -0.999999913168577; -0.1533523022718491 -0.9999999648913804 0.9999999996702893; -0.9639320645583266 1.0 0.9999997431656894; -0.06482712710299121 -0.05553690906897196 0.07466700413180498; -0.0652854770731219 0.9982728735153329 0.07747708884617546; -0.8282550977217713 -0.8068577365507322 -0.9999999707494194]
