nPsoRun,n_iter,S,fgbest,optDes
42,3262,300,0.859137763504492,[-0.994647268441055 -0.9999999999905844; 0.007699532819278158 -0.5848029952748254; -0.011396485532035339 0.5794730044256623; -0.9999999994425013 -0.005077961204125185; 0.999999999986766 0.0107839372693713; -0.9976106400876138 0.999999999994827; 0.9386576575892004 0.9999999999736461; 0.9450245787944556 -0.9999999999872122]
43,1552,300,0.8386368403261885,[-0.9999999975169068 0.999999999958175; -0.01997961685556631 -0.8315845773764918; 0.9999999928400395 1.0; 0.023137807260998802 0.845777544352167; 0.9999999999999024 -1.0; -1.0 -1.0; -0.8404697221320444 0.008748892390793923; 0.8376751675797784 -0.034176614042087876]
44,667,300,0.8378232358976245,[1.0 0.9999967435982778; 0.0076846694326769514 -0.12569430303287923; 0.41109547480198344 -0.999997420738192; -0.005001756677428264 0.8019995066587756; -0.9999997067351002 0.9999766439846409; -0.9999973591988355 0.08475814678737865; -0.8328825637735475 -0.9999483052553962; 0.9999884591058995 -0.18926335228599486]
45,794,300,0.837009839798281,[0.9999998196891441 -0.9999917982530856; -1.0 -0.43029132899045286; -0.14524677109408154 -0.0030396883442404257; 0.8012472566658446 0.00999151923306965; -0.9999895067392166 0.8216062659465385; -0.1790743099528731 -0.9999963042526524; 0.9999967557699725 0.9999999910604855; 0.07083946075034529 0.9998742727954546]
46,2757,300,0.8333607779268634,[-0.7928734918616344 0.005105901041986841; 0.08152026468466399 -0.999999999877837; -0.9999999999951836 0.9999999999925294; 0.9999999999387644 -0.6297320636207718; 0.051436475403968195 0.9999999999152949; -0.9999999999727412 -1.0; 0.999999999994759 0.6726628561299988; 0.14922199007587036 0.014209566210461046]
47,1216,300,0.8591125677702807,[-0.9999999983483849 -0.9999701255746586; 0.9999999939455856 0.9378642922419121; 0.013316593115995782 -0.9999999929740504; 0.6148520400293978 0.024917568305491238; 0.9999999992613653 -0.9753155959521594; -0.5560396490120009 -0.050424069595929995; -0.9999999919414215 0.8785811712065333; -0.06821011297618577 0.9999999959706688]
48,735,300,0.8341049297762693,[0.9999543017031628 -0.9999326193816287; -0.01186981184544242 -0.7961336458208399; 0.9999629991212844 0.12683849527433932; -0.7430786992624859 0.9999937201656897; 0.5250865660456391 0.9998537558534646; -0.9999956269666962 -0.9999989621042055; -0.007309792804521486 0.1657284913813343; -0.9999313659631246 -0.010302902415029496]
49,1622,300,0.8382936382968809,[-0.9999999999996847 -1.0; 0.9999999999997989 -0.999999999999996; -0.9999999999992966 1.0; -0.8328738877726913 -0.010924514320206826; -0.0073458929026323765 -0.8358314534479494; 0.9999999999992948 1.0; -0.017095600744932556 0.8424534356471552; 0.8466756811389253 -0.0012832092969283142]
50,1007,300,0.8352121135677643,[0.9999992956168327 -0.7710738752155053; 0.16814219097361718 0.0054977418138643635; 0.9999999873807033 0.47169086609312444; -0.7988101709639476 -0.012428898776262782; 0.14351233116956483 0.999997213294147; -0.9999996525180912 0.9999999688546464; -0.9999999089499054 -1.0; -0.04105646073608447 -0.9999997310972414]
51,1278,300,0.8356748905642472,[0.7993541691596832 0.011939116648985906; -0.9999880483056193 0.7903786657399402; 0.9999997443147717 0.9999999745122072; -0.9999999927342659 -0.4669410382708807; 0.04601133756164041 0.9999984808024072; 0.9999998602406337 -0.9999999869019225; -0.15738093748196436 -0.0045407380983573265; -0.15627071393149733 -0.9999168083704895]
