nPsoRun,n_iter,S,fgbest,optDes
32,282,300,0.5794087805872088,[-0.7799444804729749; -0.999999954050482; -0.00010353744863862295; 0.7799266652212393; -9.834407003841554e-5; 1.0]
33,519,300,0.5794088861159798,[-0.0005160716117831449; 0.779888216166406; 0.9999999990420255; -0.0005310387930717099; -0.9999999979151639; -0.7799826193007868]
34,724,300,0.5794092695957458,[-0.00036499919907226927; -0.0009828164082186686; -0.7799959053803336; -0.9999999997962106; 0.9999999947790194; 0.7798743928351171]
35,531,300,0.579408947084695,[1.0; 0.0006173695126922811; -1.0; 0.0005407315206004926; -0.779883186812523; 0.7799875979107231]
36,399,300,0.579411536063206,[0.7801118321107975; 0.9999998077843255; -0.9999997336304903; -0.7797583524879557; 0.0019566330080187638; 0.001964524843185536]
37,189,300,0.5794097055316206,[0.0008820966256564798; -0.7798482886716683; 0.0010613397870869444; -0.9999999999997582; 0.9999996459047928; 0.7800228154960646]
38,276,300,0.5794091456333692,[-0.7799954942274535; -0.0004950203247963855; 0.7798751018472572; -1.0; -0.0008395283909061503; 1.0]
39,251,300,0.5794103753517262,[-0.7799251647623876; 0.001634259064537303; 1.0; -0.0014149844619529633; 0.7799440725361548; -1.0]
40,288,300,0.5794095945405261,[0.779976449577788; 0.9999994161658339; -0.9999990791173874; 0.000819894210270973; 0.00010376769337314609; -0.7798932885700632]
41,230,300,0.5794093212118474,[0.0006229542781163712; 0.0005001160712416612; -0.9999996217400462; 0.7799857650265577; -0.7798843456331205; 1.0]
42,392,300,0.5794087640022219,[-1.1893664993590998e-5; -0.7799254055011346; 0.00023729945394374878; -0.999999998113955; 0.7799455951697505; 0.9999999975008939]
43,573,300,0.5794095639282011,[-0.9999999999959921; 1.0; 0.0011116917421755852; 0.7800355718153531; 0.0011117491898090105; -0.7798351129267445]
44,226,300,0.5794089479503057,[-0.9999995900932753; 1.0; 0.00023855585597826995; 0.7799529954513362; 0.0001510665786396748; -0.7799182543662547]
45,808,300,0.579408908751104,[0.9999999999999961; -0.7799487686935603; 0.0003324937821587677; -0.0006319147354639144; -1.0; 0.7799217696751576]
46,216,300,0.5794099055811589,[0.7799526371767821; 0.9999961006555028; -0.0001855841794002042; 0.0005938589151985338; -0.7799169128468496; -1.0]
47,595,300,0.579408912798915,[-0.0004917979354304287; 0.0006349019211937091; 0.7799417215436727; -0.7799288193447398; -1.0; 1.0]
48,732,300,0.579409662135094,[-0.0011722870284783158; 0.7798296812851283; 0.9999999995226017; -0.7800409795397818; -0.999999999188319; -0.0011713808233257562]
49,907,300,0.5794104516187788,[-0.0015770155548532922; 0.779793059229249; -1.0; -0.0015770154172811825; -0.78007741873818; 0.9999999999987291]
50,538,300,0.5794131075044731,[-0.9999999685229696; 0.9999999917946726; 0.7797101344800381; -0.7801597169081362; -0.0024935748320588503; -0.0024930351516539977]
51,473,300,0.5794088358905547,[0.000508113203505979; 0.7799358478306548; 0.9999999999994873; -0.9999999999509674; -0.0004967992263309844; -0.7799348289795573]
52,520,300,0.5794087240037817,[-9.737856128887981e-5; 0.7799427481393165; -1.0; 0.00026005180420565603; -0.7799280821225529; 1.0]
53,501,300,0.5794088986391218,[-0.0005496014055503154; 0.7798868105963425; -1.0; -0.7799840179841601; 0.9999999998315646; -0.0005286032127798239]
54,766,300,0.579408937336245,[-0.0005943455393670167; 0.779881893455295; 0.9999999999998327; -1.0; -0.000592952789785017; -0.7799889363785991]
55,256,300,0.579408932010818,[-0.000524922181047063; -1.0; -0.7799322619721024; 0.999999819020867; 0.0005919627382821845; 0.779938313170102]
56,398,300,0.5794088120279657,[5.8768005847874645e-5; -0.00045493714755183684; 0.9999999991568198; -0.7799532072370889; -0.9999999546129816; 0.7799174995817643]
57,549,300,0.579408690803151,[8.07462631938783e-5; 0.7799398387686252; -1.0; 0.999999999254569; -0.7799310454284785; 1.678968999920002e-5]
58,320,300,0.5794100025873121,[-0.999999996193477; -0.0013987048622542105; 0.7798202422040812; 1.0; -0.0011499639155609239; -0.7800500264388781]
59,358,300,0.579409998818181,[0.0013458831212744844; 0.780056894477435; -0.9999999999034013; -0.7798136714111401; 0.9999999428205384; 0.0013521090399396937]
60,607,300,0.5794087558119385,[0.00034105849698238253; -0.7799151198762185; 0.00010897341579327048; 0.7799556931391386; -1.0; 0.9999999994660992]
61,231,300,0.5794130534588473,[-0.002107211228536775; 0.7797257516590707; -0.0025273149030117714; 1.0; -0.7801433820958746; -1.0]
62,450,300,0.5794087617312691,[1.0; 0.0003689132853823377; -0.7799273172879644; -0.0001899467229482949; 0.7799434522540767; -1.0]
63,505,300,0.5794126536835258,[-0.999999981567738; 0.9999999878339785; -0.7797238720063359; 0.7801459762801507; 0.00237002546993147; 0.0023119552074716034]
64,549,300,0.5794089550135277,[0.7799879305244642; 1.0; 0.0005367920313388267; 0.0006288110262811458; -1.0; -0.7798828430290465]
65,605,300,0.5794091832473613,[1.0; -0.0008113312369087248; -0.7800098525621002; -0.999999998938467; 0.7798608970232115; -0.0008408543954348503]
66,539,300,0.5794089381500612,[-1.0; 0.0004944317742119296; 0.9999996455598383; 0.00047992457587804643; 0.7799792681086498; -0.7798914798824476]
67,254,300,0.5794089463962611,[-0.999999958034321; 0.999999992734333; 0.7799022954201457; -0.7799684598427009; -0.00018345857649513148; -0.0005526675693435819]
68,347,300,0.5794101973583812,[-0.7800582343216873; -1.0; -0.001499090834282214; -0.0012327753477615025; 0.7798119434002379; 1.0]
69,412,300,0.579409257457587,[-0.0007426409705705774; -0.0008268240374694622; -0.7800061536870362; 0.7798647602333904; 0.999999987043079; -0.9999998555969054]
70,429,300,0.5794088657558484,[0.0004314686022762245; -0.9999999617251836; 0.7799769461816679; 0.0004900683153168495; 0.999999979865859; -0.7798938719180587]
71,264,300,0.5794092144878664,[0.9999999999926419; 0.780003142984982; 0.0006368097386254917; -0.7798673956893849; 0.0008690476322138498; -1.0]
72,972,300,0.5794091054166952,[0.0008636100390658305; -0.7799024374693387; -0.00013801970461921182; 0.7799678496834664; 0.9999999993194216; -1.0]
73,142,300,0.5794305706636502,[-0.7802095588850864; 0.7796854141779364; -0.0017705661183056703; -1.0; 1.0; -0.0034419293467243977]
74,140,300,0.5794193672732378,[0.7800265342822648; 0.9999987662101929; 0.00368849093988998; -0.0014963755952990161; -0.7798274911047263; -0.9999908678531021]
75,561,300,0.5794087950454001,[0.7799699984055901; 0.0003935838104042256; 0.9999999999336149; -0.9999999998433962; 0.00037331063095665277; -0.77990085773297]
76,423,300,0.5794087531434263,[-0.7799317090913497; 0.0003440956710669146; 0.7799390774669489; 1.0; -0.00026236732599347874; -1.0]
77,955,300,0.5794087809776441,[-0.9999999995679847; 0.9999999959379186; 0.7799360593158968; -0.7799346972229428; 0.00040127873714446236; -0.00038615989962585625]
78,408,300,0.5794090019566753,[0.0003975452755404292; 0.7799852166022091; 1.0; -0.7798854175855806; -0.9999999999960287; 0.0007093999867566893]
79,422,300,0.5794109951973365,[-0.0018084811667858096; -0.7800964073193071; 0.9999999825750331; -1.0; 0.7797738721024817; -0.0017689399854964511]
80,481,300,0.5794087727469259,[0.00020079562602344668; 0.00036801553734351774; 0.9999999999999843; 0.779961056164866; -0.7799097671550306; -0.9999999992782262]
81,278,300,0.5794090138413254,[-0.7799391146792153; 0.0004176140299320233; -0.9999997826606655; -0.000504976194893369; 1.0; 0.7799317962610716]
82,362,300,0.5794088463705774,[0.7799349581821907; -0.7799357193357734; 0.9999999963420692; -0.00047479997214026833; 0.00046605827507037483; -0.9999998730212907]
