nPsoRun,n_iter,S,fgbest,optDes
183,198,300,-60.00000000000002,[-1.0; 1.0; 2.4737929707048802e-8; -1.0; 1.0; -1.7659910269921182e-8]
184,199,300,-60.00000000000002,[-2.286638699660653e-8; 1.8215068784781617e-8; 1.0; -1.0; -1.0; 1.0]
185,158,300,-60.0,[-6.903754208368495e-9; -1.1193789000049197e-8; 1.0; -1.0; -1.0; 1.0]
186,194,300,-60.00000000000002,[-1.0; 2.3338676133625533e-8; 1.0; 1.0; -1.0; -1.6606487720175943e-8]
187,194,300,-60.00000000000002,[1.0; 1.903196360858147e-8; 1.0; -1.0; -1.0; -1.7093097620754555e-8]
188,227,300,-60.00000000000002,[1.0; -2.1885180896610482e-8; -1.2526737795023304e-8; -1.0; 1.0; -1.0]
189,120,300,-60.0,[-7.025941823427339e-9; -1.0; 1.0; -1.0; 1.0; 1.0364630110526787e-8]
190,213,300,-60.00000000000002,[-1.0; 1.0; 2.5487768890182286e-8; -2.5692434984764616e-8; -1.0; 1.0]
191,232,300,-60.00000000000002,[1.0; -1.0; 1.0; -1.0; 1.6652518159988432e-8; -2.0021202134578073e-8]
192,212,300,-60.00000000000002,[-1.0; 1.8782787172889938e-8; 1.0; -2.171528714106831e-8; 1.0; -1.0]
193,188,300,-60.00000000000002,[2.3267027157928847e-8; 1.0; -1.4080639017072045e-8; 1.0; -1.0; -1.0]
194,187,300,-60.00000000000002,[-1.0; 1.0; 1.2225430191554843e-8; 1.0; -1.796830886793187e-8; -1.0]
195,225,300,-60.00000000000002,[1.0; -2.2086150863497856e-8; -1.0; -1.0; 1.0; 1.7085301351190124e-8]
196,177,300,-60.00000000000002,[1.6166713956520363e-8; -1.737418229849329e-8; -1.0; 1.0; 1.0; -1.0]
197,215,300,-60.00000000000002,[-2.704237996689851e-9; 1.0; 1.0; -1.0; -1.605770964794961e-8; -1.0]
198,222,300,-60.00000000000002,[-1.0; -1.9059182761252144e-8; -1.0; 1.0; 1.0; 2.0616334192699e-8]
199,179,300,-60.00000000000002,[1.0; -1.0; 2.1495568651933225e-8; -1.0; -2.4509879044160235e-8; 1.0]
200,204,300,-60.000000000000014,[-1.0; 1.0; -1.0; 1.0; -2.0073368780803602e-8; 1.5108695808592314e-8]
201,199,300,-60.00000000000002,[1.0; 1.128609597202623e-8; 1.0; -1.949556937753026e-8; -1.0; -1.0]
202,220,300,-60.00000000000002,[1.8770160461566375e-8; -1.0; 1.0; -1.0; 1.0; -1.9022246072518903e-8]
203,139,300,-59.99999999995231,[3.56418657754222e-7; 1.0; -5.946047014486038e-7; -1.0; -1.0; 1.0]
204,115,300,-59.999999999995474,[-1.6449680518903068e-7; 1.0; -1.0; 1.8534141930114576e-7; 1.0; -1.0]
205,187,300,-60.00000000000002,[-1.0; -9.541349483878412e-9; -1.0; 1.0; 1.7599861427915606e-8; 1.0]
