nPsoRun,n_iter,S,fgbest,optDes
29,3361,300,-41.41163573678692,[-0.7656378053427387 -0.9999999999999966; 0.8410095684771276 0.9999999999999999; 0.9999999999999993 -0.9888381455745686; 0.6674394973250366 -0.04903868405601825; 0.9999999999999997 0.8127819640900126; -0.9999999999999994 0.9946128248177097; -1.0 0.540782549067326; -0.9999999999999966 -0.8134022452370381; -0.4669767800222754 0.9999999999999987; 0.7684116481015019 -0.9999999999999992; -0.12043973545116571 0.49633210940307737]
30,4570,300,-38.64646838934788,[-0.9972480888916226 -1.0; 1.0 0.7600579531442951; 0.8193477129913062 -0.9999999999998812; -0.9999999999999993 -0.7251731145711274; -0.6748233511534748 1.0; 0.8620100676874369 0.9981507727241197; -0.16604828318740292 -0.9991819531295347; 0.9999999999999993 -0.999149668266222; -0.9999999999999993 0.9999999999999795; -0.7778300091612871 0.139171616499188; 0.05242949796980564 -0.3998620590494573]
31,3679,300,-40.610917733632846,[-0.8100460083577631 -0.9999999999999999; 0.9999999999999996 0.9999999999997384; 0.9999999999999996 -0.9447405906176257; -1.0 -0.7591455275940487; 0.9999999999999988 0.04306306932749318; -0.8180964348589101 1.0; 0.5651139844330261 -0.012483893136384422; 0.05181893300260762 0.24470392260065174; 0.7287382245434675 -1.0; -0.9999999999999997 0.7636139124701494; 0.7491825890430359 0.9999999999999993]
32,3163,300,-40.35897888999156,[-0.9999999999999998 0.8137518910694616; 0.9999999999994587 -0.4860230823090425; -0.784883371869414 -1.0; 0.9999999999999999 0.7906255408403898; -0.9999999999766923 1.0; 0.9996092811314747 -0.9826662404034259; 0.3657321761793584 -0.9999999999999991; -0.6690265955706036 -0.07329421093044083; -0.9999999999999857 -0.7680331234463914; 0.0337853077217435 0.6580645177968374; 0.7698825511895145 0.9999999999999997]
33,5812,300,-42.650767337793205,[-0.7829174907547094 -0.9999999999999998; 1.0 0.7800247771937997; 0.8077553689683816 -0.9999999999999997; -0.9998595847357469 -0.8466087590053584; -0.9054018360589071 1.0; -1.0 0.6959447923420735; 0.07784552718884588 0.49622229092358977; -0.560804434192649 -0.05033221583724996; -0.3778905367108545 0.9999999999999999; 0.9999999999999999 -0.8180002888167495; 0.879448453231216 0.9999999918619442]
34,3417,300,-39.8945425372479,[1.0 0.9533126423621862; -0.043438187832037685 0.4601206821828906; 0.8123360235753602 0.9999999999999999; 0.69137301976932 -0.08009127293669656; -0.9999999999999998 0.7937631930715083; -0.7314867861860865 1.0; -0.9999999999997192 -0.9999482105558885; -0.9999999999999998 -0.18333781699013954; 0.7795962285474989 -1.0; 0.9999999999999974 -1.0; -0.589874545656054 -0.9999999999999992]
35,5969,300,-36.81740297777328,[-0.9999999999997176 0.9999560505596334; -0.9999999999992367 0.9999956089289691; 0.9999999999999785 0.6450922299910629; 0.060598552833798495 0.9991542687088805; -0.06845036385181562 0.23978284181430887; 0.9969735829560942 -0.9999999999999999; -0.9136085161791849 -0.13197050452259063; -0.6225051331446098 -0.9999999999997182; -0.9999999999999997 -0.9889489999592287; 0.9999530039990666 0.9999999999999999; 0.9836607118248588 -0.7230997597223139]
36,3038,300,-40.57056196703056,[-0.9999999999999999 -0.8184803291195574; -0.8007273125267181 0.9999999999999998; 0.24787414334428964 0.9999999999999994; -0.3615962605257049 0.03911274293672444; 0.9999999999999992 -0.789004321366933; 0.9999999999999998 -0.9999999999999994; -0.7920887676298265 -1.0; 0.9999999999999996 0.5885528633156578; -0.9999999999999998 0.7426650898835047; 0.08619452675535465 -0.6546932283668725; 0.9999996836212867 0.999997742827166]
37,3881,300,-41.36966943557047,[0.9999999999999994 -0.7475535133469011; 0.8041287685934334 0.9999999999999999; 1.0 0.793202342275214; 0.09924941748067498 0.04282448213401101; -0.7756795361531577 -0.9999999999999998; -0.9999999999999993 0.8605161261871375; -0.8543732438583259 0.02114692912239977; 0.10450344038626062 -0.7765818393258317; 0.9977948823399069 -0.9999999999999998; -0.9999999999999999 -0.808654132032993; -0.7174294529611067 0.9999999999999998]
38,7533,300,-41.8507317394029,[-0.7886935978075604 1.0; -0.844378235512692 -0.9999999999999998; 0.9999999999999998 0.8247109695015225; -0.28093330673130046 -0.033257352181903635; -0.9999999999999998 0.8220480911756234; 0.2787532297119725 -0.21321266023505492; 0.06916909687439775 -0.9999999999999994; 0.7872838561056569 1.0; -0.9999999999999999 -0.741530792784951; 0.86073188062108 -0.9999999999999999; 1.0 -0.7097941698203588]
