nPsoRun,n_iter,S,fgbest,optDes
21,10000,300,-31.406911432723362,[0.9999999999777 0.9999999999991197 0.9999999999861836; -0.9999999999978009 -0.9999999999921492 -0.9999999992224102; 0.19696069689875906 -0.9999999996819349 -0.9999999999999204; 0.974554954899868 0.9999999999999469 -0.36578047133583463; 0.8811977247256567 -0.9160916018227917 -0.06732019215856425; 0.9999999998938239 -1.0 0.9999999999569171; 0.9999999999909777 0.9999981735698217 -1.0; 0.9999999616391662 0.21578219271945787 0.9999999998913185; -0.999999991151035 -0.417415045808722 0.9999999999971154; -0.9999999999999986 1.0 0.9999999999911231; -0.10651889118250152 0.6461977685286168 -0.9996484442293687; 1.0 -0.9999999999975593 -0.9999999999975842; -0.9999999999999245 -0.4318703269976384 -0.9999998325110004; -0.9999999997112894 0.9999999998643883 -0.9999999999129254; -0.9470374973676301 0.9999999999928737 0.1594661677168496; -0.3215269412943478 -0.9999999999886815 0.9999999967901592]
22,7701,300,-32.91119931708261,[0.9999998530054006 -0.0922656547103378 0.9999999999477205; 0.9999999852519184 -0.9999999999999994 -0.05395857138242894; 0.9999999999999998 0.9999999999999996 -1.0; -0.10620827758433314 -0.9623049300492589 -0.8852669253630036; 0.9999843386425263 0.9999999923133223 -0.055703219220157585; 0.9999999467549915 0.9999999999999962 1.0; -0.9999999999999999 -0.9999999999999999 -0.9999999999999993; -0.7970321479859847 0.5308018375314941 0.9999999950055934; -1.0 0.9999999999999998 0.9999999999999996; -0.9999999999999984 0.519484978097436 -0.9794282665446571; -0.9999999999437369 -0.8501098346692028 0.19108072626496883; -0.6089730258091475 0.9999999999999983 -0.8903453850272095; -0.9999712334851455 -0.9999999999999999 0.9999999999999994; 0.7987046074298679 0.10977828397711391 -0.8969816422375917; 0.17814480094193144 -0.9999999999999999 0.999999999989613; 0.9999999999999998 -1.0 -0.9999861091754902]
23,8066,300,-33.45833449307071,[0.06080770771791873 0.9999999999999976 -1.0; 0.9999999999999991 -0.9999999999999992 0.419364371502611; 0.9998739273329451 0.5761695816641005 0.9999999999999997; -0.9999999999999977 0.9999999999999998 0.4211948370758475; 0.39711951651820276 -0.9997787825962817 0.9999999999999999; -0.9999999999999974 0.9999999999999973 -0.9184083440180578; 0.22637070299515938 -1.0 -0.9999999951421856; -0.9999999999999999 -0.9999999999999784 0.9513140487064513; 0.9999999999999998 -0.9999999929169237 -0.9999999999999992; -1.0 -0.9999999999999984 -0.18643746758771623; -0.9999999999999998 -0.2659829491130685 -0.9999999999998427; 0.9644527490367026 0.10554939887341887 -0.6005753915381252; -0.9999999999999994 0.3640849675674558 0.9999999999999996; 0.8060545667668216 0.9999999999999998 0.6949466149223215; 0.04070128690332084 -0.28594141564047865 -0.08506316540890634; 0.9999999999999951 1.0 -1.0]
24,8210,300,-30.614195975998825,[0.18191830247752833 0.0860520708516886 0.13730846702938895; 0.17563076130876232 0.9999999999999998 -0.9966262690580878; -0.981748473368565 0.21798500043343808 0.9562211900064294; -0.8623384083996349 0.999999999999995 0.999999999999999; 0.9999999898073904 -0.24703293090801523 -0.9999999999570836; 0.9925740817206248 -0.10324148105148022 0.9999011765610968; -0.9968296223416038 0.9999999999999967 -0.999999999999999; -0.9984207840777783 0.9574660146627864 -0.11386708239880408; 0.9999999999999882 -0.9999999999999998 0.9151206204142172; -0.3901096321032945 -0.9119451776758027 -0.9843006072560827; 0.9999999999999905 -0.9999999999999998 -0.992101846605665; -0.9999999999999682 -0.999999999999999 0.9999794318877466; -0.35224172847445123 -0.9951964995655211 0.9921448709194907; -0.9999999999999791 -0.9559379476180118 -0.9605313075936036; 0.9992026425695332 0.9999945842414307 -0.0459807056673294; 1.0 0.9999999999999999 0.9998135926025242]
25,5506,300,-30.26590987672229,[-0.9999999999999536 0.9999999999999732 0.29325232997766276; 0.8931849032845941 -0.9618814023819205 -0.1138512991012568; -1.0 0.9999999999997511 -0.9999999999954559; 0.9993217647731767 0.9838894321134952 -0.04530068660448988; -0.4795520002566041 0.565783675622585 -0.9254060823148313; -0.999999999782577 -0.9991066324418458 -0.2748860009389215; 0.9999999999885341 0.9999999999197517 -0.999999999999979; 0.7721475459999302 -0.9999999993674599 0.9999999999999318; -0.9999999999992385 -0.9483345877911392 -0.9999999999993241; 0.6410257411479061 0.9999999999999982 0.9999999999826967; -0.9999999999248498 0.9999985342310548 0.9999999999692472; -1.0 -0.9999999999958875 0.999999999999712; 0.08992648944318882 -0.9997880278243813 -0.9999999999852295; 0.9999999999999282 -0.4514557132800751 -0.9999999998847541; -0.6888357311259072 -0.3827663711871743 0.7924909931663373; 0.999999999949686 -0.20002718920017748 0.9999999998245809]
26,9425,300,-30.72663658542183,[-0.5647565555518403 -0.8135474479915652 0.9995852328295103; -0.9999999999999987 -0.9999999999999991 0.9999364641360217; -0.9999999999999453 0.9999999999999967 0.9999999999999994; 0.16141774259101438 0.9999999999999996 -1.0; 0.6826283243602708 -0.9999993809852068 -0.4646535925324665; -0.9999999999999991 -0.9999999999999994 -0.7931189518294277; 0.9999999999999989 0.5796577572751858 -0.999999999999998; 0.9999999999999997 0.9999999999999999 0.4243532211496616; 0.999551979488891 0.17545847976042972 0.24436743770625546; 0.9999999999999936 -0.9991267203587798 -1.0; -0.999999999999997 0.9950635504884859 -0.9999999999999989; 0.407791237340648 0.9999087475746606 0.9999999999999918; 0.957079008968592 -0.9999999999999994 0.5018031059949023; 0.9999999999999986 -0.9999999999999997 0.9999999999999993; -0.7822938719979892 -0.573004005478 -0.9999999999999996; -0.9999999997433983 0.8325488807294402 0.18466935339714008]
27,10000,300,-32.647058329459426,[-0.9273185367966401 -0.999999999999997 0.9999999999999988; -0.9953284400313612 0.9999999999999999 -0.999999999999996; -0.9999999999999978 -0.9999999999999996 -0.999999999999996; 0.9999999999999946 1.0 0.9999999999999897; 0.6267614800449962 0.9850079384026509 0.7773288026304356; -0.999865151534741 0.8579565194735477 -0.22246638366993096; -0.99999999999973 -0.9999999999965979 0.1250698486020259; -0.973768005252166 0.02542035395469587 0.9999999999999962; 0.5942638384124316 0.9999999999999966 -0.9999999999999944; 0.9999999999999997 -0.9999999999999996 0.9999999999999996; 0.8351777877515856 -0.8632012594095582 0.5885321394711429; 0.9999999999999976 0.38062551949325685 -0.990172021273027; 0.299493292438658 -0.9999999999999959 -0.9995018505387965; 0.9999999999999998 -0.9996477585077438 -0.9999999999999921; -0.6971857410305037 -0.025079332671017144 -0.9999999998955595; -0.9999999999999998 0.9999999999999998 0.999999999999997]
28,3674,300,-32.162297110176766,[-0.9999966270917021 0.9796177640622891 -0.6042071652490764; 0.9999999999999519 0.9999999999999946 -1.0; -0.9985309411027061 -0.9999999999999686 0.9999999999999981; 0.9997847771684013 0.999922542624416 -0.05097789618710593; 0.9999999999999984 -0.9999999999999655 -1.0; 0.9918627743416513 0.17395911587859464 0.9999999999995445; -0.411922899797506 -0.9999999999999996 -0.999999999999985; -0.9999999999999716 -0.7772373031753321 -0.5470629883684001; 0.9999999999999998 0.9999999999999548 0.9999999999999563; 0.881423589820018 -0.07885057604030173 -0.9430102870367794; -0.9999999999999007 1.0 0.9999999999999855; -0.9999999998737101 -0.3104027649510237 0.9885098252270622; 0.999999999980743 -0.9999999999999799 0.1916136298543437; -0.09912859799662896 0.9959224192884035 0.7697804353111741; -0.9815644486855367 0.9999999999999951 -1.0; 0.13937656029935497 -0.9869405369436635 0.7675296648490445]
29,10000,300,-30.84600750488705,[-1.0 -0.15332934352546482 0.9999998707707033; 0.6427428726537726 0.8901295784566431 0.9999999999961531; -0.9999999999977691 -0.9999999999779232 0.6687884839487144; -0.8971528529867058 0.9887182809439271 0.1602574728666674; 0.9999999999999987 0.9955390210988748 0.3243552939583897; 1.0 -0.9999999999959005 -0.9999999997095538; -0.9999999999999988 1.0 -0.9999999999898127; 0.1909322952508227 -0.08360612135964207 -1.0; -0.9999999976145282 -0.4556102549470288 -0.9999999975835638; 0.9999999999950021 0.9999999999999623 -1.0; 0.42108210813480906 0.999999990410117 -0.9816033296873587; -0.999999999963744 0.9981245225421752 0.9999999999999752; -0.9983856722917858 -1.0 -0.999999225109076; 0.9999999999996753 -0.9998259907533007 0.9999999999994932; 0.9630672399340048 -0.7488194771502259 -0.5345677608357348; 0.40831958837768584 -1.0 0.9999033318472588]
30,10000,300,-32.03419374341588,[-0.9999999999999997 0.9999999999999837 -0.20752342119116493; 0.9894639061678533 -0.9997800039826085 0.5172698958572098; 0.9999999999994972 0.31185160501138365 -0.4282523738039108; -0.9999999999999968 -0.9999999999999643 -0.9838692853470583; 0.9999999999998254 0.9999999999998068 0.9999999999998515; 0.9999999999999818 -1.0 -0.9999999999998708; 0.9999999999999822 0.9999999998387072 -0.9993266372001981; 0.3611649676952348 1.0 -0.9999999999999193; 0.3196232134234287 -1.0 -0.9018219744425218; 0.9996743370417214 0.2207962389011018 0.9766761565320567; -0.999999999999954 1.0 0.9999999999999969; -0.9990886904479166 -0.999999999999886 0.4004093846139947; -0.9999999999999653 -0.3170197909946849 0.9999999999999979; -0.9804240792014559 0.17954837694705716 -0.9999999985551203; -0.1195340313956709 0.9999951635147043 0.7030427615248089; 0.9489326205189513 -0.9999999999999701 0.9999999999999748]
