nPsoRun,n_iter,S,fgbest,optDes
21,2399,300,0.5100577265635617,[0.23023922993672202 -0.998183349975604 -0.4897401622270641; 0.9989839158622535 0.9884312294693499 -1.0; 0.9999999110343184 -0.9999999993768408 0.5822766429172775; -0.9999997878070758 0.1729550689690266 -0.7309104102209674; 0.9999999956124871 0.9999995233282812 0.36250612073915855; -0.9999999956162023 0.9999999591037514 0.22591676252996393; -0.6932984192352231 -1.0 0.7732828402327296; 0.040952696723166364 0.017778434974649687 -0.11604588560271; 0.6812424005520046 -0.03683753443426048 1.0; 0.9999992492115851 -0.7758066456878312 -0.9999999474330953; -0.09909429579233692 0.9999999747854831 0.9999998988731145; 0.0605065214913414 0.028951942239154364 -0.11478893998811064; -0.9999994959508345 -0.9999999997185225 -0.9999999924833235; -0.3444632553264958 0.9999999880669496 -1.0; -0.9999995047182793 -0.04221390302322511 0.9999999605795699]
22,2319,300,0.4798353933955989,[-0.9999982181343436 0.9999998781431686 -0.9681096871330157; -0.012301328304741423 -1.0 0.04741873074081688; 0.9999999799950039 -0.9999998352659895 -0.943226114624251; 0.009595889661412 0.006869314158154648 -0.9999999964676782; -0.015289072250379449 -0.0034213105757775883 0.5784318616075178; -0.9999999911594903 -0.9999999163561484 -0.9704913229633746; -0.9999999999914199 0.01042182034771386 0.0468871264091209; -0.9921227517079602 -0.9996059863639729 0.9999999843405744; 0.9639267037639455 0.9999366218936131 0.9999999999855325; 0.007031910264461417 0.9999999986186282 0.052926355542803324; 0.9832902925234425 -0.998216719995639 0.9999999966063448; 0.9999999990528684 0.9999999999503243 -0.9443528408894257; 0.013760005574172575 0.0019935985215205074 -0.9999999154079762; 0.9999999951846706 -0.016556547376856856 0.08041152235647686; -0.9941846583071761 0.9771057171559556 0.9999999992305432]
23,3009,300,0.50941532797495,[-0.998901416455233 0.0015687857683199273 0.9999999978475517; 0.9949772591432833 -0.34229293090373014 0.9999999981065611; 0.9441529894588674 0.999999767076532 0.9999892377636156; -1.0 -0.7515392923644176 -0.9999997515019858; -0.9999992662796198 0.9999998219354032 0.7020903346532501; -0.9999999494647175 0.9993246965536682 -0.9844990113393259; -0.13647697017014598 -0.015816847286063643 -0.07660062766203088; -0.06885055567242886 -0.9999997571383255 0.9999999999078055; 0.4333936485553366 0.9999997771232827 -0.999999999103233; 0.46186670169069 -0.7970751079448507 -0.9999996018602172; -0.12629021465803517 -0.022504963398151473 -0.06986002403220354; -0.0027861461415533842 0.9230313466847637 0.2207290049920405; 0.9999999960877848 -0.9999989597671191 -0.27960997724165737; 0.9999999999986977 0.4530482736252058 -0.3841805211231059; -0.9999997781007472 -0.9999999924427974 0.4185369450941016]
24,1363,300,0.5362939000829215,[1.0 -0.999947373638448 0.6653103942778814; 0.7247112476084548 -0.9999980876388187 -0.9998575585843088; -0.9999991622278561 0.9916229579034642 0.846286678529323; -0.9999761981387101 -0.7464276737501181 0.682281412252143; -0.999996346877265 -0.756682888183882 -0.9999602725654623; -0.17432412368469413 0.9999580514246235 0.06787322429347546; -0.0946688969165673 0.2440973016656797 0.9999767365946104; -0.13674824988401899 -0.6574573667780785 -0.07556204636277723; -0.999956965421489 0.9999488684112995 -0.9999013875743769; 0.05120617540809324 -0.9191849559089412 1.0; 0.954497626569615 0.999986288171242 0.9998041111410796; 0.9999775689888477 -0.04393019218508637 -0.9999664900027231; -0.21370331602843204 0.2058683898214722 -0.5355553586183631; 0.9999997334489712 0.11060536762180122 0.08480383134522547; 0.9999983761398821 0.9999875637427202 -0.9999975154667866]
25,4117,300,0.5061004609671083,[-0.9999999995865858 -0.4971355394614608 0.35567743513680916; 0.07480843923721982 -0.03770621308568983 -0.04114854930718095; 0.9999999998497086 -0.9999999998399108 0.7159978408360427; 0.26224051466058834 0.9999999994281019 -0.9694229286111982; 0.07744928245004788 -0.036493714290688865 -0.03891658377946965; -0.999999991590711 0.9999999962884848 0.30883024926916613; 0.9999999973287127 -0.9999999793960673 -0.999999969407511; 0.9999999950692593 0.5142938751670665 0.9999999862263191; -0.4299667532350954 0.7193783572933092 0.9999999987908995; 0.9999999964359532 0.9999999993734328 -0.07160217120343411; -0.4100843625258091 -0.9999995343598205 0.9999999998729442; 0.06764398795264785 -0.9918547197686818 -0.24912637660970624; -1.0 0.43007487264244837 -0.9999999993728773; 0.9999999951946593 0.1852736184744075 -0.9999999973908194; -0.9999999979547947 -0.9999999888852369 -0.9999999998702033]
26,1742,300,0.5106874014726883,[0.1404186317654042 0.9985226138580177 -0.4827490239136733; 0.9999487598269224 -0.9999997168009426 -0.9581858951716483; -0.9998547671034789 0.0173207186433437 0.999918839794528; 0.03525136240115127 0.009446659370684816 0.18373656637008465; -0.9999770168700236 0.573654076411938 -0.9999930909514478; -0.21158605828652557 0.9999795793088812 1.0; 0.9999990210099796 -0.1524827990621549 0.0021664440630074716; 0.2462300652925481 -0.25965885473996253 -0.9999514958870199; 1.0 0.832303919995935 0.9999715070946349; -1.0 0.9999931050040674 0.24458869649164533; -0.9999553850161902 -1.0 -0.9998886243457727; -0.6092332941430683 -0.9999773784986925 0.9989893540666277; 0.9999933423652781 -0.9999984897713816 0.9999997682914297; 0.9999877227258807 0.999972947992294 -1.0; -0.4281196212308167 -0.7650374259298816 -0.09523417739329097]
27,2065,300,0.5159316075619584,[0.014603279118395082 -0.640506112548111 -0.5285241022076059; -0.033328271404513304 -0.0525737628330375 0.05763321833969428; -0.9999606709563825 -0.4321287490076131 -0.9999983060217819; -0.9999418778026993 -0.7786027405400665 0.9999263253510848; 0.9999825318632247 0.9998679848409764 0.9999726546949745; -0.8429225852200105 0.9999997315477331 1.0; 0.999981091138749 -0.25396040940756404 0.39579989715562347; -0.5110446722167995 0.9999994685289176 -0.9998925074150375; 0.9999983571585973 0.44865970737289784 -0.9999975160911934; -0.999999943293693 -0.999999998712517 -0.19440482025126793; 0.5438500638552293 0.9999965444793162 -0.16936558204790225; 0.0459258281582698 0.08625190715736362 0.9999757136640346; 0.9999227513925476 -1.0 -0.9999858565240516; -0.9999939871579809 0.5136488928406202 -0.0945754613018496; 0.7618591006157519 -0.9999934289878263 0.9999867611616875]
28,4359,300,0.4473678101555256,[-0.999999980649766 -0.0034566776422024375 0.007956000440687859; -0.007619518015559747 0.0017493385207697795 0.9999999974839665; 0.9999999765842789 -0.9999999935644939 0.9999998940153303; 0.9999999163345638 1.0 -0.9999999999996092; 0.9999999998268119 0.9999999207721565 0.999999999924759; -0.001352538999657942 0.9999999784433424 -0.014032360893765788; 0.027069513520725497 -0.9999999999165738 0.010731279651802813; -0.9999999571383548 -0.999999999755684 -0.999999998729211; -0.9999999995862814 0.9999999584068745 0.99999999982906; -0.9999999629901101 -0.999999999168489 0.9999998089531099; 0.9999999181784743 -0.999999752860966 -0.9999999140017639; -1.0 0.9999999907448468 -0.9999999377466265; -0.02077162748580651 -0.024356178931994994 -1.0; -0.004080453822870011 -0.0015653056961330717 -0.0001950813552523677; 1.0 0.02549156974785255 -0.004784201018600843]
29,1139,300,0.4474606760040736,[-0.9999999652705736 -0.00021963436546781806 0.004532266036035834; 0.04186287061306623 1.0 -0.014531405707847528; -0.0012968377835941 -0.0007740689835625695 5.439197855955647e-5; 0.9999999994900444 -0.9999957626780067 0.9999994677917942; 0.9999994963414593 -0.037579966127047705 -0.0024776834151343592; 0.9999970966877472 1.0 0.9999992754535196; -0.9999907567598176 -0.9999999999915451 0.9999922870227332; -0.9999882445795055 0.9999958531581107 -0.9999942946896209; -0.01939960774709174 0.030913608648726304 0.999999590080538; 0.999999729119734 0.99999796890078 -0.9999994480468086; -0.028232875789027282 0.00414743882842164 -0.9999999588838417; -0.9999992923454525 0.9999862055051026 0.9999998305528226; 0.004684551648687968 -0.9999994970465412 0.012527038460308672; 0.9999959452761853 -0.9999974789519832 -0.9999806508377266; -1.0 -0.9999935606828537 -0.9999997209557455]
30,3556,300,0.5080611057632927,[0.31253752556430925 0.9383893329535005 -0.9999789393178762; 0.9776905460515642 0.999994971485446 -0.08416234282084421; -0.9999947342143514 0.9999999727901081 0.7480985921274627; -0.06986456820764028 0.08352174879890603 -0.024958793413682175; 0.9999998644826041 -0.5064528561350102 0.444784747200967; 0.9999929184486803 -0.37967010030981635 -0.999998061944581; -0.999999946741765 -0.22235387458999073 -1.0; 0.22261687861728954 -0.9999999975979127 -0.9998684932107944; -0.3135292253219375 0.4092712785219688 0.9997357343774936; -0.86125425020614 -0.9999413856078427 -0.2099772296789745; -0.9999697660491074 0.9999900834226486 -0.8105494872641428; -0.9999999844331353 -0.6653545097631384 0.9999945691592536; 0.38351712534212007 -0.999991459717773 0.9999973772414908; -0.05952043463574249 0.060620556877080296 -0.028237693733707162; 0.9999596329482923 0.9999999625849417 0.9999998606662067]
