nPsoRun,n_iter,S,fgbest,optDes
21,10000,300,-20.414337196630644,[-0.9999999999999871 0.26656035499807007 -0.9853683252460975; 0.9562424013027112 0.9999999999999957 -0.1328824006366643; 1.0 -0.8297514601109315 1.0; 0.4489373490205937 -0.6856423009942092 -0.999999999999998; 0.9999992540670212 0.999971489866808 -0.9999999999999998; 0.9999999999999967 0.9999756196471157 0.9999999999999999; 0.9999999999999967 -0.9999999999998983 -0.5750865973395641; -0.959766007325044 -0.999999999999999 -0.9843646809289196; -0.8772791881321587 0.23171266481679034 0.9804764757871386; -0.9999245011232079 1.0 0.9999965183305146; 0.46067274871446934 -0.9210976215184785 0.6150358623819675; -0.9999999999999977 -0.9999999999999937 1.0; -0.7841541208413528 1.0 -0.9999999999999998]
22,3964,300,-20.369253914394303,[0.9267220574448997 -0.99999999954226 -0.9999999999921404; -0.9210212490079093 -0.9999999999987949 -0.10732306204334724; -0.4776965695335447 0.9997670428229616 -0.9999999995138761; -0.9925916594881492 -0.9999999990440979 -0.9999999999994593; 0.9999988103318507 0.9999999999991456 -0.9047181251569666; 0.053749277464488314 0.9999999998735414 0.5273021256057212; 0.9999999999989453 0.9999999999977679 0.9999999999999987; 0.9999999999394268 -0.37119265209743096 -0.9999761507423811; 0.9989639928147118 -0.9999999998502032 0.9092824652521466; -0.9999999998535406 0.9943022943586851 -0.32697774359827964; -0.9999999999705206 -0.9995171293470807 0.9999999999935276; -1.0 0.9907791502354372 0.9999999999398349; 0.6935108804672963 -0.5038340117195713 0.9999933654603587]
23,6036,300,-20.088798818577796,[-0.9999999999999992 0.9999999999999988 -0.6608245971122623; 0.9999999999998977 0.9999999999999404 0.0590209499362527; 0.9961418050744236 -0.2139770313713846 -0.8942364126091923; 0.9918298374472246 0.9999999999623421 1.0; -0.7058447743062892 -0.7531839916783613 -0.6432656492303473; -0.16869847615322917 0.8980554496826054 -0.9999999999999959; -0.9999999999999998 -0.9986848036364083 -0.9999999999999968; -0.9999999999999997 -0.5571352826103164 0.9999999999999974; 0.12789682889461607 -0.999999999999999 0.9705563024243309; 0.9999999999999992 0.9999999999999994 -0.9947858611708048; -0.9893756310207519 0.999990892211815 0.9999999999999895; 0.999999999998763 -0.9999999999999996 -0.9999453482299417; 0.9999999999999994 -0.8102632618271715 1.0]
24,10000,300,-18.30783087911991,[-0.9999998183335953 -0.9999999903539495 0.13469465210797343; -0.9999852591074679 0.9999999999999936 0.9999975322524; -0.19764910926700546 0.8182400187024879 -0.9955003156092198; 0.790763603032107 -0.1973480467953679 0.018805160459905733; 0.5942569979612367 0.9999999999999987 0.9999999308686717; 0.9999965727796079 0.2545730686474829 -0.9999999998945083; 0.8708235830275476 -0.9999999999999917 0.9999999999999746; 0.9999999999191428 0.9999999999999131 -0.9703925665791844; -0.9999999999996563 0.8046108712198828 -0.9999840880864284; -0.806761557264347 -0.2703181433330091 0.9999999999999984; 0.9999966565653337 -0.2651705418853837 0.9999999999998826; 0.9999404781843736 -0.9999999999993047 -0.9999379241760951; -0.9613508299073229 -0.9999990457096157 -0.9999999999999918]
25,5953,300,-19.512799903091377,[0.9718085342234255 -1.0 -0.9999999999964634; -0.3508986089287645 0.08774380080223834 0.4608211904678729; 0.16817767533481046 0.9999999849100685 -0.9146368749627117; -0.9999999992569948 0.9999999999188826 0.8978012773762002; 0.14807909353274396 1.0 0.9999999532781765; -0.10222068987288564 -0.999999999999592 0.9999999999523054; -0.994163578794814 -0.9108483270603643 -0.9999999394533078; 0.9999999459123721 0.9999999978756701 0.9986495636366954; -0.9999999998285529 0.92994495819512 -1.0; 0.9999999998464861 0.2809290545447306 -0.9399424759206608; 0.9999991978175893 -0.9999332608430805 0.5816488480438107; -0.6742934532876981 -0.9999998994583364 -0.1445742683195362; -0.9999999950770194 -0.9999994714329875 0.8461316563867425]
26,8177,300,-19.831935130102767,[-0.05049012444724654 -0.9999999999999993 -0.999998395557908; 0.9999999999999998 0.9714221766299556 -0.044534299930207105; 0.9999999999999964 -0.7469871650999209 0.9992966968485141; 0.6054158104328505 0.9999999999999991 -0.9999999999999997; -0.03697372771424055 -0.9996198286741187 0.9561597084252218; -1.0 0.9999999999999987 0.9853533448661718; -1.0 0.99999969596971 -0.9999999999999956; -0.9999999999999998 -0.6413253372294522 0.9273601353137504; 0.9999999999999999 -0.9999999999999998 -0.999999999999935; 0.7113956347958422 0.999103979937385 1.0; -0.9999999999999996 -0.9999999936732966 -0.9999999999999857; 0.5325354937243414 -0.05826234875449035 -0.9996150397141605; -0.5674145793760693 0.6728324094465601 -0.32027923246060674]
27,6439,300,-19.90347040276087,[0.9998728284399954 -0.9957625352478771 0.9999999999999993; 0.48082438882972395 -0.9999922930694918 0.4168164676325698; 0.9148475650035586 0.9999999999999993 0.9999999999999999; -0.9999900140107968 0.9999999999999993 0.7211856077490706; 0.7383549750151933 -0.99999999999989 -0.9999999999999992; -0.3183977805662891 -0.5236859921852407 -0.9704778354051328; -0.9999999999999998 -0.9940260755659786 -0.9976416805293916; 0.5470192154426217 0.9999999999999998 -0.9999999999999991; 0.958217016424719 0.9857186552967737 0.3279349919925352; -0.9999999984769319 0.043413802073304676 0.9999999999999992; -0.9999941201966911 -0.9999999999999999 0.9540670108968297; -0.9999999999999986 0.9999929118877738 -0.9999999461948227; 0.9999999999999999 -0.3966433197813275 -0.8237678402112724]
28,6086,300,-19.518962925049507,[-0.9999999989476764 -0.9999999998426237 0.4084377886614036; 0.8983632917323328 0.9999999807407725 0.9730556215434443; 0.1479460879172334 0.4310496868884642 0.029685057837401434; -0.9414692412617741 0.9424138099447051 -0.9999999999743727; -0.9990000389908854 0.9994719693851706 0.047012944937943446; 0.9999999996078914 0.12352156634223671 -0.9999999998077741; -0.43766074239805314 -0.4955892373481379 0.9992177525751522; 0.9293620094664563 -0.9999999999024062 0.9662169750996296; -0.8997546076770505 -0.9398222191643569 -0.9999999998157234; 0.9999999997597832 -0.03515593091998812 0.9999999998799229; 0.9831044355446455 0.9999999997221892 -0.984130280026668; -0.9979358762608661 0.9999999966820132 0.9999999999477838; 0.7679656557064947 -0.9999999998533857 -0.9714136670668291]
29,8546,300,-20.884263455417535,[-0.9264752053671315 -0.9999999999961389 -0.9998601358327424; -0.9999999999909495 0.9124832131974153 0.9999999992040312; 0.9983238971325917 -0.9999999999641568 -0.9999999999969654; -0.21453195848171297 -0.9998879858967702 0.9700832609861965; -0.9999999995367772 -0.3267780640394504 -0.9999999999991858; 0.9160547763505176 0.6079037892422123 -0.9999999997683104; 0.9999999999989844 0.9999999998935373 -0.004176097144021974; -0.694527791191711 0.9999999999998521 0.07203105761390559; 0.6287578283257192 0.7934597961001066 0.9999999999982587; 0.9999998766126261 -0.7629953214754561 -0.05976699256615681; 0.9999911688631845 -0.9999999996795407 0.9999999999273251; -0.9999764628780787 0.9999999973759508 -0.9999999998652404; -0.9999999999982414 -0.8160537905868029 0.9554514044510913]
30,7444,300,-19.817444795589804,[0.013047798899665473 -0.9701724113762337 0.9031846171485883; -0.3412544137933759 0.9999999999999988 1.0; 0.8732027968481958 0.9999996637354647 0.11921843180715105; 0.9999999999999988 -0.9999948216814905 0.9999999999999982; 0.9968393561645768 -0.21010257856806075 -0.9999996668348559; -0.9999776039962951 0.9999999999999998 -0.5279944113409888; -0.9999999999999991 0.20480372943796768 0.7998978451751326; 0.9999999999999998 0.9999954687737871 0.9999999999999991; -0.9999999999999988 0.16967538177108843 -0.9999999999999998; 0.9999999056468147 -0.9999999999999992 -0.999493338397164; -0.9999999999999996 -1.0 0.9932292158222321; -0.8317737484480066 -0.9999999999999993 -0.6025663210199361; 1.0 0.9999999999999947 -0.9999999999999968]
