nPsoRun,n_iter,S,fgbest,optDes
40,218,300,-75.00000000000003,[-0.9999999999999999; -1.0; 1.0; -1.0; 1.0; 1.1688644421595873e-8; 2.9714518765395125e-9; -1.0419210532834056e-8; 1.0]
41,328,300,-75.00000000000001,[-2.078763639393413e-8; 0.9999999999999999; -1.0; -1.0; 1.0; 5.396491759732353e-9; -1.0; 5.269636534194833e-9; 1.0]
42,222,300,-75.00000000000001,[-1.5197813345991808e-8; 1.0; -1.0; -1.0; 1.0; 1.661201965234991e-8; 1.0; -1.0; -1.7462009653476056e-8]
43,248,300,-75.00000000000003,[1.0925779211718847e-8; 1.0; -0.9999999999999999; -1.5307262075451075e-8; 1.0; -1.0; -1.0; 1.0; 8.093826236952901e-9]
44,257,300,-75.00000000000001,[-1.0; -9.162219357717818e-9; 1.456136460577478e-8; -1.0; 1.0; -1.3877395769361177e-8; 1.0; -1.0; 1.0]
45,232,300,-75.00000000000001,[-1.0; -1.0; -1.0; 1.4183973869374653e-8; 1.0; 2.7521589657975258e-9; 1.0; 6.328810055027895e-9; 1.0]
46,232,300,-75.00000000000001,[-1.0; -1.0; -1.0; 1.0; -1.9731115015143106e-8; 1.4661607591075518e-9; 1.0; 1.0; -1.4338800827958597e-8]
47,255,300,-75.00000000000001,[5.700947513176558e-9; 5.570697457812146e-9; 1.0; -1.0; 1.0; -1.0; 1.0; -1.0; -4.776993126740714e-9]
48,237,300,-75.00000000000001,[1.0; -1.0; -1.5465121255698692e-8; 1.0; -1.0; -5.067370986877852e-9; 1.0; -8.45898572388349e-9; -1.0]
49,213,300,-75.00000000000001,[1.0; -1.0; 1.0; -1.0; -8.468783780821713e-9; 1.6887674045390898e-8; 1.0; -1.0; -1.7149857173077146e-8]
50,247,300,-75.00000000000001,[1.0; -1.0; 1.0; 1.0; -1.0; -1.8169811994421963e-8; -3.784166700466541e-10; -1.834232325122383e-8; -1.0]
51,201,300,-75.00000000000001,[-2.289268428287211e-8; 5.519895633036213e-9; -1.0; 1.0; 1.0; -1.0; 1.0; 6.2504915698913645e-9; -1.0]
52,254,300,-75.00000000000003,[-1.0; -6.232249334884876e-9; -1.0; -1.0; 1.0; 9.628963882886854e-9; 1.0; 0.9999999999999999; -5.366305151625943e-11]
53,262,300,-75.00000000000001,[6.591166481195169e-9; -1.0; 0.9999999999999999; 5.7157740079897165e-9; -1.0; 1.0; 1.0; 1.0103026531606185e-8; -1.0]
54,207,300,-75.00000000000001,[2.8557965553052384e-9; -1.0; 1.0; 1.0; -1.6545230244131976e-9; -6.868305775378235e-9; 1.0; -1.0; -1.0]
55,281,300,-75.00000000000001,[-1.0; -1.0; -1.0; 1.0; 1.0; 3.366090242210944e-9; 1.0; 6.437014889041724e-9; -3.771250008043936e-9]
56,228,300,-75.00000000000001,[-3.161615864839776e-9; 1.7373630552865302e-8; 1.0; 1.0; -1.0; -1.0; 1.0; -1.0; 3.6981124331054098e-9]
57,206,300,-75.00000000000001,[1.1057551290682287e-8; -1.0; 1.0; -7.753791176504051e-10; -1.0; 1.0; -1.0; -1.65534695483648e-8; 1.0]
58,251,300,-75.00000000000001,[8.225519902032599e-9; -1.0; 1.0; -1.0; -1.3389289208762378e-8; -1.0; 1.0; -2.076489512984342e-8; 0.9999999999999999]
59,291,300,-75.00000000000003,[-3.0237985457910145e-9; -4.44220575724522e-9; 1.0; -1.0; 1.0; -1.7071847434475865e-8; 1.0; -1.0; -1.0]
60,248,300,-75.00000000000003,[-9.924881532392417e-10; -2.9718605557888807e-10; 1.0; -8.164779850541625e-9; -1.0; -1.0; 1.0; -1.0; 0.9999999999999999]
