nPsoRun,n_iter,S,fgbest,optDes
96,359,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436825; 0.6963202947436825]
97,335,300,-19.512631368174784,[1.0; 0.6963202947436817; -1.0; -0.6963202947436817]
98,416,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
99,332,300,-19.51263136575642,[0.696320294700574; -1.0; -0.6963202947075433; 1.0]
100,359,300,-19.512631368174784,[-1.0; 1.0; -0.6963202947436826; 0.6963202947436825]
101,403,300,-19.512631368174794,[0.6963202947436827; 1.0; -0.6963202947436827; -0.9999999999999998]
102,166,300,-19.51258489041508,[1.0; -0.6963192648449505; 0.6963192646687684; -1.0]
103,377,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
104,394,300,-19.512631368174784,[0.6963202947436817; -1.0; 1.0; -0.6963202947436817]
105,460,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; 1.0; -1.0]
106,371,300,-19.512631368174784,[1.0; -1.0; -0.6963202947436826; 0.6963202947436826]
107,464,300,-19.512631368174784,[-0.6963202947436817; 1.0; -1.0; 0.6963202947436817]
108,374,300,-19.512631368174794,[-1.0; 0.6963202947436827; -0.6963202947436827; 0.9999999999999998]
109,366,300,-19.512631368174784,[0.6963202947436817; 1.0; -1.0; -0.6963202947436817]
110,401,300,-19.512631368174784,[-0.6963202947436817; 1.0; 0.6963202947436817; -1.0]
111,358,300,-19.512631368174784,[1.0; 0.6963202947436825; -1.0; -0.6963202947436825]
112,359,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; 1.0; -1.0]
113,386,300,-19.512631368174784,[-0.6963202947436825; -1.0; 0.6963202947436825; 1.0]
114,377,300,-19.512631368174784,[0.6963202947436826; -1.0; 1.0; -0.6963202947436826]
115,423,300,-19.512631368174784,[-0.6963202947436825; -1.0; 1.0; 0.6963202947436825]
116,137,300,-19.512593063614446,[0.6963194556967752; -1.0; 1.0; -0.6963194624025207]
117,388,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
118,394,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
119,432,300,-19.512631368174784,[-1.0; 0.6963202947436825; 1.0; -0.6963202947436825]
120,408,300,-19.512631368174794,[-0.6963202947436823; 0.6963202947436823; 1.0; -1.0]
121,390,300,-19.512631368174784,[-0.6963202947436817; 1.0; -1.0; 0.6963202947436817]
122,346,300,-19.512631368174794,[0.6963202947436823; -0.6963202947436823; -1.0; 1.0]
123,414,300,-19.512631368174794,[-1.0; 0.6963202947436827; 0.9999999999999998; -0.6963202947436828]
124,119,300,-19.511604133069866,[1.0; 0.6963049727089248; -1.0; -0.6963099165815931]
125,398,300,-19.512631368174784,[-0.6963202947436826; -1.0; 0.6963202947436825; 1.0]
126,356,300,-19.512631368174794,[0.6963202947436827; 0.9999999999999998; -1.0; -0.6963202947436828]
