nPsoRun,n_iter,S,fgbest,optDes
92,216,300,1.5884774020523091,[1.0; -1.0; -0.554897006056552; 0.5548970154951841]
93,196,300,1.5884772732158763,[-1.0; 1.0; 0.5548201309397575; -0.5548201664262307]
94,163,300,1.588480019357012,[0.5551365154495201; 1.0; -0.5551364010586752; -1.0]
95,413,300,1.5884771573045493,[-0.554798710187747; 0.5547987101877473; 1.0; -1.0]
96,89,300,1.5886603911078643,[0.9999347493135485; -0.5549611703593446; 0.5549641703418733; -0.9999594391197846]
97,104,300,1.5884774042582164,[1.0; -1.0; -0.554848748496515; 0.5548488126655058]
98,200,300,1.588477303036653,[-1.0; 1.0; 0.5548790479282861; -0.5548790480074525]
99,168,300,1.5884778049363606,[0.5546611999925077; -0.5546611194849832; -1.0; 1.0]
100,191,300,1.588478269639833,[1.0; 0.5547394653948503; -0.5547398168019532; -1.0]
101,181,300,1.5884983668627877,[1.0; -0.5540301324775736; -1.0; 0.5540329471833757]
102,333,300,1.5884775378379496,[-1.0; -0.5546664793937047; 0.5546664800961407; 1.0]
103,214,300,1.588477375310064,[-1.0; -0.554785496123159; 0.5547855688148363; 1.0]
104,204,300,1.5884798552594788,[0.5545582964208424; -1.0; 1.0; -0.5545578104754336]
105,157,300,1.588479039723167,[0.5550874427665322; -1.0; 1.0; -0.5550874305412014]
106,186,300,1.5884774896323473,[-0.9999999999165838; 1.0; -0.5549183549292455; 0.5549183508644256]
107,73,300,1.5885373088347068,[0.5532642131998845; -0.5532613543283738; 1.0; -1.0]
108,131,300,1.5884803211991811,[1.0; -0.5547633977590587; 0.5547635344865127; -0.999998668349245]
109,116,300,1.5884789526093206,[0.5548904073013021; 1.0; -1.0; -0.5548909505837425]
110,280,300,1.588477243119281,[1.0; 0.5547583520348678; -0.5547583345054198; -0.9999999611323529]
111,310,300,1.5884772979828106,[0.5547176982815456; -0.5547176982871465; -1.0; 1.0]
112,68,300,1.5888316354108705,[0.5587801697769429; 1.0; -1.0; -0.5587787296751578]
113,44,300,1.5887359888380377,[1.0; -0.5522325063951062; 0.5521944439256683; -1.0]
114,112,300,1.5884778842683351,[0.5548616071501067; -0.554861822698658; -1.0; 1.0]
