nPsoRun,n_iter,S,fgbest,optDes
63,613,300,0.6274028674781591,[0.023476987980927136 -0.8805632359673387; 0.9999999746351199 -0.9999994474060699; -0.9999998828468708 -0.9999987829546563; -0.9999942257232575 -0.010616319933072731; -0.9999999825038349 0.9999999998830652; -0.006860935229540792 -0.004891373256525955; -0.028088991345247137 0.8581667257559829; 0.9998931287213118 0.03960878380480615; 0.9999997722406259 0.9999960075688868]
64,1299,300,0.6285828856416957,[-0.04426785052744784 -0.006313372483905408; 0.9999999840973416 -0.999999999707754; 0.8576283807944246 -0.012161967488706075; -1.0 0.9999999626395739; -0.9355495949535464 -0.004097527423062198; 0.04748405638764763 0.9749975549778203; 0.03892745449604564 -0.9644302308823834; -1.0 -0.9999999884317159; 0.9999998496349272 0.9999999861053349]
65,1699,300,0.6283530097069894,[0.9999999999894157 0.9999999999633494; -0.9999999998954039 -0.9999999999890777; -0.9999999999997402 0.9999999999712933; 0.022554336262274915 -0.908706407142276; 0.9999999998240159 -0.9999999999785613; -0.031226542264920935 0.8388752403880899; -0.9898887137122196 0.01458685349052227; 0.019400858660671445 -0.03367710021380994; 0.9998915117810628 0.06756757407412861]
66,1243,300,0.628627434111622,[0.9999999967350002 1.0; 0.030454637860225366 -0.939294174297209; 0.9999999991321253 -0.9999999999980541; 0.9337102119298976 0.04309678926172775; -0.9810104251608592 0.026064146389785804; -0.9999999995975702 -0.9999999935245532; 0.008270349058271677 0.8769138225534627; -1.0 0.9999999911948223; -0.04304271791285613 -0.034651456044820214]
67,1503,300,0.6280236176676205,[-0.9999999986515872 0.9999999999814925; -0.8958984377154325 -0.021212699325072124; 0.038615372193050036 0.045649897860131045; -0.007938394021727368 -0.9315933270373541; 0.9999999990262818 -0.9999999999722281; 0.930957791555335 -0.009766242455258596; -0.021868720970585377 0.9717514009182072; 0.9999999992225606 0.9999999996713618; -1.0 -1.0]
68,1372,300,0.6272325448137002,[0.9999997162799165 0.0014664498830783232; -1.0 0.9999999999997583; -0.9999912799110583 0.015107898880772776; 0.007376794691096801 0.8583629301751983; -0.006561955831360502 -0.8817831875726719; 0.0013342752299800708 -0.038054888634409395; 1.0 0.9999999999994912; 0.9999999999999571 -0.999999999983933; -1.0 -0.9999999999999989]
69,1031,300,0.6274324658435292,[-0.016439576481526542 0.8864315184545886; 0.012050268386186665 -0.8697311348097145; 1.0 0.004867424304787826; 0.0407366455135367 0.013154811676199437; -0.9808377965683389 -0.022422804181435323; 0.99999991829783 1.0; -0.9999999999998997 0.9999999729561335; -0.999986517902923 -1.0; 0.9999999356880362 -0.9999999633613581]
70,1280,300,0.6668437370708629,[-0.9999999996861239 -0.9080777128749261; -0.3371315883689638 1.0; -0.999999999903577 0.39938856917500065; 0.13224661497796972 0.2136707027219804; -0.04204897085983563 -0.999999999613145; 0.9999999998468094 0.03801952760054148; -0.3040253756208622 -0.1455650394766131; 0.9928006416107816 0.9999999996115093; 0.9999999999197332 -0.9999999999998253]
71,1092,300,0.6288757809194537,[0.03830710745842101 -0.9115433282415384; 0.9999999996873677 -1.0; -0.9981174463924172 0.005782252500297966; 0.9999981522930202 0.9999986840410633; 0.998825310704939 0.07789549954629912; -0.0365913890353022 0.8299838092649308; -0.9999941047498335 -1.0; 0.024307016188264623 -0.06945872212617939; -1.0 1.0]
72,1134,300,0.6284862209618168,[0.0010363947896272817 0.04656744835144427; -0.9957276436868454 -0.07250636246183711; 0.9997127102227806 -0.01095884876219936; 0.033609774614488906 -0.8339502765568817; 0.9999999230393037 -0.9999999928400414; -0.031163402230191612 0.9085344824825938; -0.9999999993487367 -0.9999999909585792; -0.9999999993068001 0.9999999649963582; 1.0 0.9999999770612492]
