nPsoRun,n_iter,S,fgbest,optDes
57,188,300,0.3999999999999999,[1.0; -1.2789781302971639e-8; -1.0; 1.5609285909377596e-8; 1.0; -6.493737738463597e-9; -1.0]
58,196,300,0.40000000000000047,[1.4286106063772395e-8; -1.0; -0.9999999999999855; 1.0; -2.303669493667844e-8; 1.7831298762105273e-8; 1.0]
59,177,300,0.3999999999999999,[-1.0; 1.0; 1.0; -1.071621856543932e-8; -8.969193215427578e-9; 1.8230438765232708e-8; -1.0]
60,179,300,0.40000000000000213,[1.0; -5.148432130499475e-8; -1.5697505826539664e-9; -1.0; 1.0; -1.0; -6.558186045621227e-8]
61,158,300,0.4000000000000165,[1.53635748781772e-7; -1.0; 1.459556891641506e-7; 0.9999999999998768; -2.4998805059500655e-8; 1.0; -1.0]
62,182,300,0.40000000000000113,[3.043348921674724e-8; -1.0; 4.9908718842479705e-8; 1.9702453432519748e-8; 1.0; -0.9999999999999951; 1.0]
63,213,300,0.4000000000000109,[-0.9999999999999785; 2.3927378015822583e-8; 0.999999999999947; 0.9999999999999907; -1.864145582466153e-7; -1.0; 7.000521615097792e-8]
64,191,300,0.3999999999999999,[-1.0; 6.674082055300614e-9; -1.0; 1.0; 8.522884346807819e-9; -7.2964667713983555e-9; 1.0]
65,197,300,0.40000000000000646,[-1.0; 1.0; -1.0; -1.0337128320396561e-7; 1.0; 1.3885849165749614e-7; -1.0172675569439028e-7]
66,199,300,0.4000000000000016,[-1.0; -3.2619453037372336e-8; -1.0; 6.447865570694574e-8; 1.0; 1.0; -5.9099872315843345e-8]
67,210,300,0.3999999999999999,[-1.0; 1.0; -1.0; -9.34051709337392e-10; 1.0; 1.5646783018923856e-8; -9.174017903481852e-9]
68,151,300,0.4000000000000498,[1.0; -4.0683103525909255e-7; 2.2756309683368044e-7; -1.0; 1.0; 2.545395682842325e-7; -1.0]
69,196,300,0.40000000000000074,[-3.585506111829239e-8; -3.3196598373555394e-8; 1.0; -1.0; 3.6555985139216004e-8; -1.0; 1.0]
70,193,300,0.3999999999999999,[1.0; 1.637088849435524e-8; 1.6681469170363627e-8; -1.698312202713252e-8; -1.0; -1.0; 1.0]
71,190,300,0.4000000000000022,[-0.9999999999999629; 1.0; -1.0; 0.9999999999999998; -6.39714957145098e-8; 4.9333828410901236e-8; -7.833689680209887e-10]
72,224,300,0.40000000000004027,[-1.1237053672874806e-7; -0.9999999999999233; -1.0252231133941261e-7; 3.590226893012641e-7; 1.0; 0.9999999999997767; -1.0]
73,232,300,0.40000000000000097,[-1.0; -3.69348220208436e-8; 1.0; 1.0; 2.1549540928347088e-8; -5.0467002475979026e-8; -1.0]
74,214,300,0.40000000000000097,[-5.0395134712426606e-8; -3.388080257568551e-8; 1.0; -1.0; 1.0914963666463073e-8; 1.0; -1.0]
75,191,300,0.40000000000000013,[1.0; 1.0; -1.0; -1.0; -2.148397403888097e-8; -5.2600143705053666e-9; -1.3037118846754416e-8]
76,221,300,0.4000000000000013,[-1.0; -4.2532195886782423e-10; 1.0; -7.143834940076654e-9; -1.0; 7.344040354568321e-8; 1.0]
77,188,300,0.4000000000000007,[-1.0; 4.742204764524389e-8; -1.0; 1.0; 1.0; 9.659650219048434e-10; -4.350845534631689e-8]
78,167,300,0.4000000000000006,[1.0; 1.29645068441773e-8; 1.0; -1.0; -2.786946759805367e-8; -1.0; -2.233869405605848e-8]
79,173,300,0.40000000000000036,[-0.9999999999999991; -2.1702708414505915e-8; -1.0; -1.104508049171896e-8; 2.7928194531081478e-8; 1.0; 0.9999999999999953]
80,152,300,0.40000000000001135,[-1.0; -1.0; 0.9999999999997027; 1.0; -8.23849931430802e-8; 5.922552579942054e-9; 1.0722985639821274e-7]
81,187,300,0.40000000000000074,[-1.0; 0.9999999999999978; 2.089676457181709e-9; 1.0; -1.0; -5.039937905222722e-8; 2.4134880092600354e-8]
82,217,300,0.40000000000001096,[1.2241227835786544e-7; 1.0; -1.453027145891042e-7; -1.0; 1.0; -1.0; 1.4601602127139542e-7]
