nPsoRun,n_iter,S,fgbest,optDes
21,943,300,1.5820274516347426,[-0.06550872618015519 -0.21830386794329765 -0.9999910938127254; 0.999714825926604 0.9973885563589235 0.055412841058742536; -0.8526522373690656 -0.9997377892789823 0.9997836753337426; -0.49005659810849406 1.0 -0.6925005862329568; 0.9959145196799196 -0.9793340567880805 0.9999766642253288; -0.9774377217853933 0.5984761073803451 0.671868312313824; 0.9999851288162205 -0.9999756970912645 -0.7454657934115922; 0.6129027556484243 -0.08819305658511442 0.10745277251483447; -0.9999169261693601 -0.7177631559917018 -0.7508820118747157; 0.17958206574178245 0.9254339295253282 0.9998046816220297; -0.19858193569445862 -0.9995465730307752 -0.19342277199776162]
22,6064,300,1.5896104860502067,[0.13487759423590828 -0.8413349557121803 0.9999998443243909; -0.9999997658979138 -0.5346058486179525 -0.9999999968872233; -0.9999999991997518 0.2535910175536772 0.8934468454723244; 0.724193797885382 0.9999829785010897 0.999999697908765; 0.9999994773393637 0.9721689924876266 -0.5175884736047899; -0.3109112421678349 0.7275874692724563 -0.9572140949385978; -0.9999999845410354 0.9999963467323846 -0.14255118982261206; 0.08736571146102157 0.3022741684348087 0.41845974689544646; -0.3097117003892711 -0.9999997421613411 -0.12596029383214258; 0.8097554910848928 -0.9999709099954687 -0.9999999934956242; 0.982590026588247 -0.5126340255904139 -0.07709728282048278]
23,1689,300,1.5068505793647198,[0.2345955500565696 0.9999975861173107 -0.9999996634135989; -0.26002278877415674 -0.032455756074800876 0.933691050386195; -0.2839496148986351 -0.8127825121752672 -0.9999999962072275; 0.6709330008355686 0.32145921083383755 -0.31840693447383606; 0.0703052571812815 -0.9999956697370639 0.11468137770326392; 0.9999999999979512 -0.9999749413839055 -0.9279344635702341; 0.9999999913083168 0.9999945990712042 0.9145551683611498; 0.8416010989769337 -0.6384519952825896 0.9999984573893104; -0.5708716931816487 0.9999999995976486 0.34936446292765205; -0.9999998170408121 -0.9546789745728255 0.9949805636175999; -0.9999999991608912 0.025317918025041613 -0.3171375272995884]
24,1990,300,1.7972372363401834,[0.9997528081539115 -0.10842418799786671 -0.9999476236317261; 0.3071897386706483 -0.999981493407158 -0.7838457652651054; 0.27610682635057365 0.5349789863343074 -0.5484660033441552; -0.9999941933798668 0.9999962718398018 -0.9999896721657126; 0.7892933521075989 1.0 0.869646643231605; 0.9999997226169431 -0.02909305892632622 0.47259935138763454; -0.714333149442755 0.9865372634739292 -0.015400219521648746; 0.03013017996254393 -0.8903070704080482 0.6968410008664346; -0.5607545297773316 0.5571250666240685 1.0; -1.0 -0.9999651971906224 0.3204103370570594; -0.7575198183634039 -0.06207589008035538 -0.6266491472013996]
25,8154,300,1.538967982398801,[0.9999999216907552 -0.9999999999999926 -0.008143880035082542; -0.9999999999827615 -0.8258582361738239 -0.9999999999384906; 0.9999999985298988 0.2209896131405993 0.42247014666148514; -0.5473186951735622 0.9791041646678789 -0.9935160841562372; 0.1347802978404395 0.9999998800428576 0.26577259457180813; 0.1531109265426654 -0.465603077862604 -0.5463426300192386; 0.020946786575333626 -0.3798425918830598 0.9999999962842635; -0.9733733185713879 0.21064674218605198 0.1279282073268265; 0.9999999992662024 0.6163646859423264 -1.0; -0.979837232919055 -0.999999810322298 0.5573446858162008; -0.9197420296361598 0.9999999963417222 0.9999999999964352]
26,2987,300,1.7371760354460226,[-0.9816104198829123 -0.5654602882194896 -0.5488696219777999; -0.5780555419176115 0.9999877055334453 0.9335179370807443; 0.9492980186466189 0.9221260374188215 -0.9976658806461959; 0.8736834496458344 -0.8853117271882218 -0.9998789958171185; 0.99576382868855 -0.9999999984164103 0.9786856820763331; -0.4222528451313175 -0.999999996393881 0.27665170612382023; 0.19812257537891004 -0.17257865021838018 0.04669743864501914; -0.9999754816428272 0.4223879773925982 0.5750838234958109; 0.31788462903726783 0.010937044373470473 0.9999999997512315; 0.9998582115904583 0.8238046696201532 0.40484721845539856; -0.5267916867726932 0.9510909508624407 -0.8474664605389384]
27,1320,300,1.7549598790114067,[-0.801424602459866 0.9067469862374952 0.8870445282634633; -0.585947051596292 -0.03395805037361295 -0.05950945369573879; 0.9999848055669713 0.17742775014216727 -0.8862661429235761; -0.6445716919093426 -0.42741289755842155 -0.9999535255366218; -0.9991110902165871 -0.9998768921127734 0.286057272822975; -0.9999935589088007 0.9999989776640437 -0.9568682707411286; -0.5225202517933146 -0.5098076641706809 0.9998235280458413; 0.9999862107774924 1.0 0.16687981503581462; 0.8450916875386069 -0.6075696142362053 0.6256946450746611; 0.7047780847600499 -0.9998860953858468 -0.9466852993242036; 0.007953050540696015 0.9880107217485439 -0.28849468835365255]
28,7938,300,1.830373877624978,[-0.9999999999999826 -0.41331057196091225 0.7097707633465128; -0.8452131774294669 0.9999891454147595 0.314351954444189; 0.8090286936433941 0.8291645181345787 -0.0305715403000661; -0.6483887959665412 -0.9999999999992913 -0.7056633597742872; 0.7770606525171131 -0.9999999999960529 0.9999999999990464; 0.12136445580977252 -0.4643266319378592 0.513414142996522; 0.9411894114757872 0.49936206628044183 -0.9999999999956746; 0.07767891391197293 0.8844657290608022 0.9999999999961148; 0.8819145956644331 -0.5610577174617862 -0.5538402216211371; -0.5799566510508815 0.18994593772992313 -0.8083107469541594; 0.9999999997594646 -0.012693187227615131 0.9906434260210786]
29,1175,300,1.5897458931329576,[0.15216981919783926 -0.9979477427489182 0.35408620227573673; -0.2735234290059027 0.6746970480598651 0.9024801909043725; -0.9977654322146209 -0.8390700896729401 0.9999394497801859; 0.7350956607549224 0.9998271753717239 -0.0446097051251142; 0.1027523117062588 -0.9998263663169477 -0.9996172633374217; 0.9999822081310534 -0.6079583850677324 0.9999984485215371; -0.9998109350922512 -0.8911700563690551 -0.43900549216587775; -0.21260284296004656 -0.05837064067223561 -0.42519280383341557; -0.9998589370295994 0.9999918939237261 0.22093836913813522; -0.6049846420748257 0.9853512967186415 -0.9974961075244894; 0.9998838861348878 0.02477117672465576 -0.44398619712620135]
30,2472,300,1.5651597252346587,[0.6525750368325052 -0.9999999975090179 0.9999290792271699; -0.9985048772330157 -0.548871420620365 0.999946237891412; 0.7934558491832493 0.4165643620718206 0.7362978646836816; 0.2935389698214368 0.46736513884345904 -0.9993315044431497; 0.39756596704514313 -0.9990427030425926 -0.6391224960740102; -0.9999158153418142 -0.4223898960002607 -0.9999997161249528; 0.802756044932354 0.9999976824583577 -0.40803872624251103; -0.3043739871033556 -0.12120486894092841 0.1522973064320862; 0.9999999831471006 -0.28597745614533676 -0.9959775199746373; -0.658148380207924 0.9999793428163787 0.9999659959151124; -0.9999991889611242 0.7188247880930028 -0.08911738831622297]
31,6716,300,1.6864109992841807,[-0.999999991475284 0.8309592837372036 -0.4246305126240106; 0.9999999988960557 0.7866895799923402 0.9999995175011772; 0.005638809746638051 0.9999999983686297 -0.9999999997594976; 0.9652420896531003 -1.0 0.9996539436716765; -0.986538036709464 -0.9999999999924069 -0.48310045327230805; -0.6220282845972518 0.21182433107793025 -0.9999998050362908; -0.7543959258568405 -0.3535395498045214 0.5756488867578761; -0.8127653166680889 0.9999997917844672 1.0; 0.04753417608847892 0.6217888292154572 0.1666294720872025; 0.9999999999642414 0.5490794483680043 -0.9098360505480504; 0.4179596658554689 -0.7026006595829184 -0.7383678241539776]
32,2246,300,1.4939875056146215,[-0.6923597663978134 -0.9139916848309575 -0.9964355977251267; 0.9999601399190586 0.020233654936998347 0.999969600485152; -0.609642677717341 0.23570231817421636 0.9999996813083275; -0.05918921008278057 0.2606847089784136 -0.997535174361904; 0.3990137127874969 -0.6025181358720841 0.2705635262219833; -0.9999925284851059 0.999965973151889 -0.9953685911965225; -0.9887459971646008 -0.17640782836572766 -0.058982014691513665; 0.9990329642672927 0.7208775619912153 -0.5036478216575951; 0.007468599428885395 0.9999964548523258 0.2684899545068674; -0.7046884080438086 -0.9999902888983081 0.9938217574826624; 0.9998421205203085 -0.9999999974202364 -0.9411404104014361]
33,3545,300,1.6067246488205151,[-0.6686616553524931 0.24524397481981905 0.999999998963708; -0.9999999997997517 -0.9963535062148695 0.8098089525714575; 0.7595701914280858 0.31487293916697656 -0.3090020548604166; -1.0 -0.09700297426939297 -0.768325266431481; 0.9999999999901409 -0.9999999999970673 -0.37524312612349175; -0.08108073103111749 -0.7813456577887726 0.15930024457767478; 0.7487509978826623 -0.3376183626013492 0.9999999978465084; -0.7530439094229388 0.9577611768445873 0.06978103026720664; -0.18749711846687625 -0.9505148587022125 -0.9999999999638557; 0.33819083911148135 1.0 -0.9999999999999829; 0.9999876850406616 0.9999999999921872 0.7484013586915715]
34,2154,300,1.7641838087200425,[0.8493178983297508 0.13153137420450928 0.5264755203194186; -0.9999971600807361 -0.9999651659801618 -0.9999999173351658; 1.0 -1.0 1.0; -0.4277658545116145 -0.8950523954419518 0.7491325213971316; -0.9981629303846332 0.06935490022466866 -0.6115887688112236; -0.10986928745100301 0.9902996400825662 -0.8201512777114864; 0.03726322545996869 -0.8987401116306438 -0.3839475900715782; -0.9999649660383583 0.9999756194638363 0.28901811840477815; 0.9999908747872226 0.9999964719946172 -0.753444578005703; 0.9651595668303616 -0.2484920248219266 -1.0; -0.4009674592416926 0.5648510369719304 0.9999962316311403]
35,3080,300,1.5621806056127816,[0.6005420795612911 0.9999984330874088 -0.13433785117197877; -0.9692064629998411 0.3794407625967626 0.13118323602158988; 0.9999999659923897 -0.15805398071076737 0.999999997972735; -0.6049527666244643 -0.9999932010712953 0.9999802772690505; 0.9999909655897757 0.24018250132728225 -0.971569506457006; -0.18056365186681778 -0.018768762669549056 -0.9304709525695124; 0.8933656799111279 -0.9999999047969929 -0.9999999729010307; 0.38419079880124873 -0.61042007821933 0.34574384290429466; -0.9993113793045688 0.9999232134889161 -0.9347446750377821; -0.9996695780162486 -0.8570396297021871 -0.3062656052284995; -0.1283005638000522 0.6678887062645911 0.9999992030203263]
