nPsoRun,n_iter,S,fgbest,optDes
21,2983,300,-32.711793136515524,[-0.9999999999999998 -0.9846726374573747; -0.30426896700876477 0.9997463002562953; -0.5839541389664069 -0.9965725272596331; -0.9999189603234477 0.3315703797466615; 0.9222314505702821 -0.7018952210205955; 0.9999999999999994 1.0; 0.09276710094393548 -0.07786399270814134; -0.999999999999998 0.9999999999999957; 0.9999999999999997 -0.999999999999994; 0.970351464304122 0.6131348068934992]
22,2315,300,-32.74481676888479,[-0.9218960941752296 0.6998824591042441; 0.3067816181079314 -0.9999999999820006; -0.9999999999981763 -0.9999999999999516; 0.9999998914369466 -0.3353156377639566; 0.9999999999999984 -0.9999973271968976; 0.9999999999979468 0.9998240120851174; -0.9840377883625341 -0.6030361346452049; 0.5800531820942539 0.9999999474800937; -0.09062226427509176 0.037462077812425665; -0.9999999999997914 0.9999999999964584]
23,1386,300,-32.73070855879537,[-0.33515092943537134 0.9999001207166939; 0.07431038750315513 -0.1633422521399839; 0.7078892642761856 -0.920080169516752; -0.9999999235528197 0.2914111671685516; -1.0 -0.9999998876338847; 0.9999999956336377 -0.9999999999821041; -1.0 0.9999999877017499; 0.9999999984956476 0.9999996006653171; -0.5914545427346516 -0.9980876716324285; 0.9999999996161667 0.5772210978008478]
24,3355,300,-32.261816481392984,[0.9999999999999992 0.9999999921126792; 0.4440728190798238 0.9999999999999997; 0.550556355810924 -0.9998740727203731; -0.24895644810679288 -0.10109736827013868; 0.9999999999999999 -0.9999999999406558; -0.9999999999999983 1.0; -1.0 -0.9999999999999999; -0.9898828492610571 0.6051829560029748; -0.6792569762434478 -0.9999999995324079; 0.9833845667980587 0.1265109393809937]
25,2696,300,-35.11330364477509,[0.9995936275672909 0.9999999999999999; -0.9999999999999997 -0.7300957476933638; 0.9999999999999906 -0.7204948554355163; -0.694248673783021 -0.9999999999999998; 0.9999999999999974 0.697301682238657; -0.1386012554521255 -0.15301475790131086; 0.028646961427455323 0.7297306260843737; -0.9832894620653798 0.9999999999999999; 0.718586660724261 -0.9999999999999974; -0.9999999999999997 0.7143579159221023]
26,3314,300,-32.33504555256249,[0.9999999544282376 -0.9999999980476946; -0.9999999970208598 -0.9945942251969675; 0.24461538476582748 0.019053518472164004; 0.9999999887937059 1.0; -0.9759527222762912 -0.15198297492007865; -0.9999999999852218 0.9509746638216698; 0.8960326360329127 0.7115026581116869; -0.5467615719343447 0.9999999999035282; -0.44611442534498674 -0.9999999508817896; 0.986246335209693 -0.6243763423163479]
27,1130,300,-32.315882010761115,[0.9999973625303783 -0.9999151407262762; 0.9999992826924177 0.9999999914930134; -0.9850240586275713 0.5678742508467244; 0.2556810245387942 0.9992312736211467; -0.05773994182109091 -0.24081853404618206; -0.9996347177135417 0.9999994666586438; -0.9999966031712729 -0.9999999848831674; 0.618869663147534 -0.976301613314175; 0.9983240853770856 0.3553111260731788; -0.6454698856274049 -0.9999998476336364]
28,2683,300,-32.52773030411888,[0.5926301191494575 0.9830523016126919; 0.9884733506450385 -0.27372763908384756; 0.9999999999996976 0.9999999893235407; 0.9999999999999046 -0.9999999607165042; -0.9770238171391434 -0.6065648485761962; -0.9999999999999999 0.9999999999998398; 0.36377794187241175 -0.9999999999993295; -0.673323031282181 0.9810519184350079; -0.13874580792018618 0.06560400064779856; -0.9999999999910444 -0.9999999999965591]
29,1841,300,-32.78207626240139,[0.33493053289630315 -1.0; -0.7094619782609055 0.912941223484293; -0.998106300410667 -0.5839081361784902; 1.0 0.99980213562629; 0.5922787307397176 0.9944224555631539; -0.06845514237192493 0.09077112100958029; 0.9984151710786342 -0.30503096015952225; -1.0 -0.9999999843937354; 0.9999999870505307 -1.0; -1.0 0.9999999917264097]
30,5489,300,-38.31499533664565,[-0.7619785426459186 0.9999999999999998; -0.7452215969380699 -1.0; 0.9999999999999999 0.7418869068646249; -1.0 0.764459654182914; -0.18430020298054783 -0.12374448472212897; 0.26863953307464206 0.5050948284385223; -1.0 -0.7613668729649258; 0.9999999999999994 -0.7567649078583433; 0.7536507184186522 0.9999999999999998; 0.763633450669385 -1.0]
31,1241,300,-32.74626618506276,[-0.9999999798364229 -0.5824345103257119; -0.8938243766074844 0.7180897582771057; 0.99679559158727 -0.30306027521809914; 0.0034631354121068387 0.10313106446443117; 0.34749239149190175 -0.9999583695228252; -1.0 -0.9999999995083011; 0.9999999999929691 0.9999998983347537; 0.9999999994905061 -0.9999999999973963; -0.99999999254714 0.9999999990885774; 0.5901111247593575 0.9996307903609034]
32,6240,300,-32.46522547018703,[0.9999999999983236 0.9999998450702008; -0.9999999998756095 0.9999999999992877; 0.2732290795109414 -0.9679773026301266; -0.06321244348842808 0.17322061729981644; -0.9957458116137871 -0.5881915027910277; 0.9958940027398557 -0.38851262652727614; -0.999999999999999 -0.9999999999973744; 0.9999999999999984 -0.9999999999994231; -0.9939455281121697 0.6709758034948733; 0.6095084195718334 0.9823878449427019]
33,2842,300,-32.25168640712711,[0.6882104509074088 -0.9152445058666812; -0.9999999998654583 -0.9989295491915968; 0.9999999999226233 -0.999999999973545; -0.08066746563562924 -0.11216461644201739; -0.9953748763119871 0.4277881581034955; 0.9999999999411424 0.5946530216925303; -1.0 0.9999999999987793; -0.3104258589237079 0.9338359296923017; 0.9579032923266273 0.9999999999999483; -0.6170946580967887 -0.9999999992610251]
34,3892,300,-32.17817036805848,[0.010742385498229074 0.005783555029509948; -0.5983340042368812 0.9994477248579416; 0.9999999999999996 1.0; -0.9999999999999991 0.9999999999999992; -0.05630016447545166 -0.9999851661122275; -0.9999999999999999 -0.48761862572569487; 0.9999999999999993 -0.5259826457150377; 0.6624716187083173 0.9265593702387128; 0.9943641495762723 -1.0; -0.9999774329515863 -0.9999999999999999]
