nPsoRun,n_iter,S,fgbest,optDes
34,1368,300,0.5130219912913775,[0.9999999641338566 -0.12066516477625047; 0.9999986549027778 0.9999988690552293; -0.12050162060760566 -0.9999998425242683; 0.11827846218828748 0.9999995234814606; 0.9999989367809712 -0.9999992791962365; -0.9999999155631435 0.9999995756415709; -1.0 -0.9999994189265862; -0.9999999724937142 0.11807255488631592; -0.007486633770634877 -0.001917854113630867; -0.0017172954822050421 -0.013445275464423003]
35,765,300,0.5125982356087289,[-0.9999999758122778 0.9999999667583184; 0.004198153830850458 -0.014152139792464633; 0.06856106344041685 0.9999999999470802; 0.9999999989133204 -0.06778556504920137; -0.9999999932838408 0.06684438772332722; 0.999999838442424 0.999999998902559; 1.0 -0.999999841096493; -0.9999999665927566 -0.9999998111049674; 0.009064128425556258 0.010654898318168139; -0.06602853165168074 -0.9999999997061781]
36,864,300,0.5151671103196491,[0.0007396554849293697 0.01497751702484503; 0.9999999893004454 -0.21470387460796023; 0.21465602599239667 1.0; -0.00860347780254893 -0.010759821121785192; -0.21575297885909858 -0.9999999763551698; -0.9999999665504609 0.9999998748143573; 0.999999999425784 -0.9999999995288346; 0.9999999891458103 1.0; -0.9999999261474621 0.21577632371280372; -0.9999999965629627 -0.9999998116064613]
37,973,300,0.5125201772953556,[0.9999996604455551 0.9999999521631362; -0.9999999449780762 0.9999960395094495; -0.9999995601649517 -0.04165293853767955; 0.9999992156940278 0.04003561053698121; 0.027669541889746796 -0.015293165310979438; 0.041688763553247604 -0.9999975506838125; -0.039838539206247976 0.9999998720568734; -0.018844024605976797 0.006598647107659344; -1.0 -0.9999992558815; 1.0 -0.9999999830220708]
38,608,300,0.5124582135844027,[-0.9999978068785527 0.9999968110660737; 0.9999995869435565 0.9999934718423192; -0.012370876892405288 0.9999999040141548; 0.9999999957123733 0.010405978003187726; -0.9999957617664963 -0.011918332414981516; 0.009145003937321015 -0.016387059636545662; -0.9999998707769175 -0.9999997744880958; -0.022210727829419002 0.009079435770036478; 0.009780433243488288 -0.9999999040833759; 0.9999997079558456 -0.9999981561679374]
39,1491,300,0.513216116111206,[0.9999999999517285 0.1341569855330749; -0.13390702663710657 0.9999999992032288; 0.9999999993910946 0.999999999987936; -0.9999999966161686 -0.13523461341505386; 0.13545490519079678 -0.99999999975869; 0.006348263907679189 -0.01609460782800803; 0.0006580804129776126 0.008925742912637922; -0.999999999963474 0.9999999364846587; 0.9999999974004381 -0.9999999997586593; -1.0 -0.9999999743616483]
40,462,300,0.5127301847405646,[0.9998651998196612 0.9999999956741251; -0.9999999982048325 -0.9999999999955177; 0.013998407450569584 -0.018063537429673416; 0.08642485920498284 -0.999993664459463; -0.9999799609802452 0.9999993767760741; 1.0 0.08629537405604969; 0.999998298868293 -0.9999953824183675; -0.08545205490245047 1.0; -0.9999960433875202 -0.08575905841349767; -0.008565325988351568 0.020288301414063487]
41,1028,300,0.5124825011242101,[-0.9999999928626694 -0.020288094073634574; -0.0003104655799586061 0.02537422909095024; -0.021341587171413778 0.9999997949476006; 0.9999999484983337 0.9999994727154055; -0.9999994173021939 1.0; -0.9999999646691976 -0.9999999930982059; 0.011894249161648872 -0.0037636986641633977; 0.023502458138199185 -0.9999999191615033; 0.9999972069444371 -0.999995388172398; 0.9999999842686107 0.024678645844672588]
42,1290,300,0.5138331536933383,[-0.999999999769576 0.1676914975301147; -0.9999993156269084 -0.9999996080863913; 0.1668356168529623 0.999999958067743; 0.9999997792759998 -0.16922247874186366; 0.0024207733681387827 -0.00392809160700206; 0.9999976702794515 0.9999970998830817; -0.17012329386902283 -0.9999999941703537; -0.9999997327808159 0.9999999767649795; -0.018079672890863024 -0.008371329225920212; 0.9999978786712689 -0.9999995338805857]
43,1575,300,0.5127132431736174,[0.9999999987213406 -0.9999999997001547; 0.9999999869250052 0.9999999903143462; 0.9999999998418408 0.08846384782176377; -0.9999999968970771 -0.08814143560800691; -0.9999999982091429 0.9999999995621238; -0.9999999959888429 -0.999999996372409; -0.08785577739848287 0.9999999998515092; 0.08873957839850803 -0.9999999999987822; -0.003047555635416034 0.0031615218793083957; 0.0077568800579248766 -0.0020960094246153674]
