nPsoRun,n_iter,S,fgbest,optDes
64,427,300,-25.720346182200988,[-0.0013691292147712606; 1.0; -1.0; 0.7286543266219876; -0.7289176501572668]
65,778,300,-25.719498658596937,[0.9999999999991601; 0.010752509833465287; 0.7298256994635786; -1.0; -0.7277578364134428]
66,463,300,-25.70960155110344,[-0.999999999998682; 0.732469483095358; 0.03762422426474566; -0.7252482587939967; 0.9999999999985922]
67,577,300,-25.720018221854556,[-0.9999999998815442; 0.7294399620439744; 1.0; -0.7281364887187391; 0.0067773169945233355]
68,939,300,-25.720324618710816,[0.9999999999998708; -0.0021987390998010046; -1.0; 0.7285746864832369; -0.7289975859670477]
69,541,300,-25.719230969041536,[-0.012306372298584028; 0.7276102957750608; -0.7299768885570704; -1.0; 1.0]
70,103,300,-25.716999161558764,[0.7300570777336733; -0.7275123861397379; 1.0; -1.0; 0.013304017793069925]
71,265,300,-25.719550439283207,[-0.010410604350154347; 1.0; -1.0; -0.729792496907957; 0.727790322649766]
72,800,300,-25.71146616741252,[0.7255327530425525; -0.9999999348572193; -0.732160060872694; -0.03449983849925009; 0.9999999999580227]
73,415,300,-25.714956991119497,[-0.022800797193200148; -1.0; 0.7266091383793306; 0.9999859285896852; -0.7310149083049464]
74,382,300,-25.715327863296597,[-1.0; -0.7276749530001696; 0.011239553239774661; 0.729841616796148; 1.0]
75,513,300,-25.71339134400073,[0.7259480025086845; -0.7317133773895428; -0.9999974027030497; 0.9999986587097396; -0.02999611292536621]
76,338,300,-25.72033353115277,[-0.001849079591043828; -1.0; 0.7286082265531684; -0.7289638824320261; 0.9999999553613593]
77,438,300,-25.714637167626584,[-0.027697957750508907; -1.0; 1.0; 0.7261634026189504; -0.7314863974195964]
78,690,300,-25.719670376289187,[-0.7278653303504314; 1.0; 0.00962219917808057; -0.9999999999999882; 0.7297158639753001]
79,148,300,-25.719986958305626,[-1.0; 0.7281837208044647; -0.7293927780611407; -0.006276999229145913; 1.0]
80,267,300,-25.716420911331685,[-0.7308141514451969; -0.020898075934513614; 1.0; -1.0; 0.7268091228205418]
81,60,300,-25.663955413564356,[-0.05756465034980203; -0.734306305778712; 1.0; 0.7239253459991155; -1.0]
82,889,300,-25.70931091680525,[-0.7325546672878749; 0.7251676051934831; -1.0; 0.9999999186521549; -0.03846753016488487]
83,704,300,-25.718072703095164,[0.7304854564982253; 1.0; -1.0; 0.01751623547874723; -0.727117521304026]
84,241,300,-25.720212935963374,[-0.004347195484293095; 1.0; 0.7283688140669079; -0.7292049598557168; -1.0]
85,698,300,-25.719545863756146,[0.0045111302687553135; 0.7292151000880496; 1.0; -1.0; -0.7283508679927209]
86,669,300,-25.717345344452085,[0.9999999991062477; 0.02010665571312335; -0.7268736395270647; -0.9999999943366491; 0.7307392467700423]
87,357,300,-25.720125884575975,[-0.7293267561186396; -1.0; 1.0; -0.005607613652255241; 0.728248225473965]
88,684,300,-25.719153881978706,[-0.7300173836152619; 0.7275708534613547; -1.0; -0.012722139685412635; 1.0]
89,500,300,-25.720296057878755,[-0.7290694246400413; -0.0029437333687935855; 1.0; -1.0; 0.7285032373126631]
90,204,300,-25.7197655899071,[-0.7289834209800972; -0.0021015747984357734; 1.0; 0.7285820198852383; -1.0]
91,488,300,-25.719959390055664,[0.7294895631749263; -0.7280875706514494; 0.007289798184974639; -1.0; 1.0]
92,575,300,-25.72026330886578,[-1.0; 1.0; 0.0036136464964492358; 0.7291340706816244; -0.7284390378881033]
93,107,300,-25.71445070841124,[-1.0; 1.0; -0.7270356977490122; 0.7305513480794186; 0.018088934258022167]
94,265,300,-25.717717130474195,[-0.7270126137040442; -1.0; 0.7305950390942918; 0.018631979736573153; 1.0]
95,550,300,-25.704420550263325,[0.7333250912876456; 0.9999999983530611; -0.9999996561671621; -0.7244635104864282; 0.046178238981741684]
96,219,300,-25.7168858923441,[-0.7308812354831596; -1.0; 0.7267377553752068; -0.02155403407403415; 1.0]
97,665,300,-25.72035979071219,[-0.7288187196236973; -1.0; -0.00034130737948701484; 0.7287530731611943; 1.0]
98,295,300,-25.707587137890137,[0.7328426841113183; -1.0; 0.04135550248696291; 1.0; -0.724903025465477]
99,1205,300,-25.71991356945665,[0.007743990343534784; -1.0; 0.9999999999999984; -0.7280442539893208; 0.7295336240308519]
100,431,300,-25.719459620439423,[-0.7277367757258775; 0.01097411773409996; 0.7298472374421793; 1.0; -0.9999999383535735]
101,460,300,-25.71903460401421,[-0.013335953842223481; -1.0; 0.7275126688637875; 1.0; -0.7300771945646674]
102,522,300,-25.719628394728804,[-0.729743863064955; -1.0; -0.009910455400920445; 0.7278379037296013; 1.0]
103,703,300,-25.720359492073396,[0.7287478477421564; -1.0; 1.0; -0.7288239491154953; -0.00039566429680541087]
104,821,300,-25.720036712056512,[0.7281572739281652; -0.7294189148566861; -0.9999999999974883; -0.006559460007691717; 1.0]
105,651,300,-25.720230934918238,[-0.7291879319658087; -1.0; -0.004171446570722273; 0.7283856181031451; 1.0]
106,316,300,-25.708217297908547,[-0.9999983746249218; -0.7257170117688985; 0.0330990034303194; 0.7319956994179972; 0.9999858384830397]
107,506,300,-25.713732154997544,[-0.9999999764429325; 0.7316941343429096; 0.029799561233651316; -0.7259679674912896; 0.9999999961895957]
108,94,300,-25.709374965092902,[0.7319527488426549; 0.03265115204620718; -1.0; -0.725711676135511; 0.9999663634376991]
109,510,300,-25.71692202261078,[-0.02146465616819572; -0.7308725155737832; 0.9999999977093532; 0.7267460979353261; -0.9999999443382291]
110,318,300,-25.707362615738898,[0.7248709447889298; 0.9999999483802241; -1.0; -0.7328778495889506; -0.04170668122643427]
111,748,300,-25.711020971611223,[0.9999958696995205; -0.7322214371724031; -0.03512334881712262; -0.9999999998860603; 0.725474167265748]
112,268,300,-25.720355993501478,[0.0007904051455139111; -0.7287099096329076; 0.7288619346825967; -1.0; 1.0]
113,443,300,-25.720250812990283,[1.0; -0.7291536952752555; -0.0038170295059938; 0.7284195516062275; -0.9999999613945105]
114,199,300,-25.719543666545007,[0.7277855373348503; 1.0; -0.010460991547450088; -0.7297973542527364; -0.9999999998581464]
115,734,300,-25.720024802640726,[-1.0; -0.7281427312319448; 1.0; 0.0067119298107628095; 0.7294336299130014]
116,185,300,-25.71633531474908,[0.7269014442768829; -1.0; -0.7307139573263423; 1.0; -0.019723562416124073]
117,445,300,-25.720360613370104,[-1.0; 0.7287934255684712; 1.0; -0.7287783559972083; 7.834931321207653e-5]
118,782,300,-25.71941307301273,[0.7277083255197615; -0.011273611962061267; -0.7298763773837119; 1.0; -1.0]
