nPsoRun,n_iter,S,fgbest,optDes
53,191,300,0.9452382488716277,[0.00754618537509301; 0.6210118503567653; 1.0; -0.9999999919432928; -0.6192581405037199]
54,469,300,0.9452138513963576,[-1.0; -0.6206708753280089; 1.0; 0.6195842351478014; -0.004669003208249462]
55,454,300,0.9452050867727142,[0.0017304924633703674; 1.0; 0.6203262379403531; -1.0; -0.6199234903983792]
56,446,300,0.9452116171584021,[1.0; -1.0; -0.619648192437678; 0.620605547402688; 0.004113302219877229]
57,229,300,0.9452122411224586,[-0.6196304520321053; 0.004267173858511499; -1.0; 0.9999999995820678; 0.6206235930164942]
58,379,300,0.945211645935358,[0.0041349999698079756; 0.6206080700541944; 1.0; -0.6196457102310159; -1.0]
59,609,300,0.9453173796258442,[-0.015631048503157545; 0.9999999999953734; -0.6219784159203378; -1.0; 0.6183406729235573]
60,412,300,0.9453129054807897,[-0.01488130497180071; 0.9999891647453841; 0.61842195512277; -0.6218877367962471; -1.0]
61,682,300,0.945326643134033,[0.6220484484601398; -1.0; 0.9999991322514389; 0.01621234295018407; -0.6182758177919665]
62,564,300,0.9452227930506795,[-0.006408245351130988; 0.6193846248311757; -0.6208760416684594; -1.0; 1.0]
63,553,300,0.9452072454410122,[-0.6198041038848677; -0.9999999944155104; 1.0; 0.6204469546004083; 0.002762144939739533]
64,170,300,0.9452111006891171,[0.0031520116942073185; -0.6197609372547389; -1.0; 1.0; 0.6204924308884144]
65,401,300,0.9452212411184396,[1.0; -1.0; -0.6194151126105653; 0.006142114195699657; 0.6208445927832729]
66,725,300,0.9452526092022168,[-0.6213326789354994; 0.6189463873212845; -0.010253411796363887; 0.9999999999907329; -0.999999999967673]
67,376,300,0.9452269522516185,[0.007071597563893253; -0.6193087186384526; -1.0; 0.6209545171052977; 1.0]
68,527,300,0.9452189929064816,[-1.0; -0.6194617432144701; 0.005735432533811661; 1.0; 0.6207965757667517]
69,792,300,0.9452139866995282,[-0.9999999524950368; -0.6195808784236564; 0.0046981748639021844; 0.6206743188018539; 0.9999999999989153]
70,198,300,0.9452789589647633,[1.0; -0.6215573007008297; -1.0; 0.6187378717726735; -0.012134364475026664]
71,347,300,0.9452421301950309,[-0.009087858496585086; 0.6190787686867377; 1.0; -1.0; -0.6211938066856022]
72,312,300,0.9452045294684287,[-0.6199687677088381; 0.6202806163329291; 0.0013399269183069424; 1.0; -1.0]
73,669,300,0.9452042605374554,[1.0; -0.0011036113224434144; 0.6199961839817598; -0.6202530339324767; -1.0]
