nPsoRun,n_iter,S,fgbest,optDes
39,1995,300,-10.15438113436091,[-0.16709234989772292 -0.9999999999997993; 0.2658499016017022 0.999999999657874; 0.5062703838442545 -0.3204457546583413; 0.9999999999999829 -0.9991361779967597; -1.0 0.9999999999995948; -1.0 -0.4009040225890773; 0.9999999999998329 0.9999999999999991]
40,2594,300,-10.193755524317323,[-0.35223675608897553 0.9999999969723672; 0.9998157278414304 0.9992635802593831; -0.9999999391930751 -0.999999993474544; -0.23626166412691565 -0.5292252081742145; 0.9999959554236924 -0.9999999910297152; -0.9999999995099936 0.10466669007369628; 0.999999997138248 -0.2866250667541678]
41,2143,300,-10.194465201423565,[0.9999999999075746 -0.9999999999208893; -0.27311443854471296 0.5181117447932779; -0.3733856108969635 -0.9999999997663458; 0.9999999999999782 0.2768602745108452; -0.9999999999994518 0.9999999999777823; 0.9999994054024525 0.9999999999999966; -0.99999999999533 -0.12822226017399138]
42,2715,300,-10.001725535901146,[0.9999999999999991 -0.09388630627352908; 0.8569732782220127 0.9999999999999992; 0.5566092110525492 -0.9999405200019389; 0.3638689712575854 0.3887632392899482; -0.9992097650739227 0.14385995798608087; -0.9999999999999504 -1.0; -0.999999999999986 0.9999999999999987]
43,2553,300,-9.443006253660023,[-0.7426440504227618 -1.0; -0.999999999920373 -0.06711076640634782; 0.5525193214218714 0.9575277029496914; 0.6014759772188722 -0.983320457116789; 0.9999999995915553 0.11836622023556843; -0.9996383251877505 0.9999999999813686; 0.2801855437890404 -0.2066944046251698]
44,1674,300,-10.170443317565734,[0.27288951248634497 -1.0; 0.9999998766004653 -0.9979465798567531; -0.15310805523409587 0.9999931475211987; 0.9999995114305108 1.0; 0.5142100503525227 0.29972140880973025; -1.0 0.38659111589486794; -0.9999999840219201 -0.9999993747641946]
45,5390,300,-10.14605801019765,[0.5476255384513454 0.25006743283796; -0.1447368336463504 0.9999999999988286; 0.9999999999994683 0.9999999999999994; 0.9999999999989779 -0.9807800839435761; -0.9994364262056402 -0.9997015615434435; 0.301148759869655 -1.0; -1.0 0.3443765520853771]
46,1534,300,-9.68887986777023,[-0.9999999999992998 1.0; -0.7995851129000853 0.15014688068692192; 0.9999999999685447 0.18476566133569194; -0.4527198705476146 -0.9999999999983875; 0.22871871347042164 0.9987107954438322; -0.9999999999896341 -0.9999999999746104; 0.8692774660967191 -0.9999989492605387]
47,4489,300,-10.14992608677924,[-0.12934653990761733 0.999999999996565; 0.9999999999990205 -0.9944545738585059; -0.9999999991942417 0.34039623645294037; -0.9996826919606745 -0.9834745477022601; 0.9999999998735821 0.9999999998412882; 0.5496200023985964 0.2467408098201864; 0.29924053753554936 -0.9999999999949224]
48,2924,300,-10.14866251647202,[0.5543639154681906 -0.2448798294193328; 0.29818436827432193 0.9999999999770067; 0.9999999977546058 -0.9999999999976327; -0.9999999999113526 -0.3405229674844032; 0.9999999999999998 0.9984121458629738; -0.9908088879361194 0.9854480397069377; -0.12374104926774855 -0.999999996831934]
