nPsoRun,n_iter,S,fgbest,optDes
34,2524,300,-46.817367272485036,[-0.9999999999537221 0.7366044980862018; 0.8880234702678079 0.9999999827050927; -0.9999999999998413 -0.7014244856545657; -0.8919457684804409 -0.9999130653229407; 0.9999999243288121 0.9001289097243749; 0.9991080681817875 -0.9999999991646962; -0.8652053553156202 0.99100700881596; 0.16255480687696822 -0.09422474708767913; 0.991481804336282 -0.99999999999311; -0.15743842649386375 0.9999999987397848; 0.6741226223577983 -0.0076937489492448835; -0.3041923948399279 -0.9999999802585673]
35,779,300,-45.74843191002706,[0.9999420372079153 0.17417671699975637; 0.7696585155048703 0.9978763805093253; -0.8527935294797891 -0.9999946208169813; -0.0376905695414976 -0.7505853268662392; 0.9974860673499534 -0.9912437560786329; 0.9998854908609792 -0.999591795393308; -0.9999984248545462 0.36986599939482107; -0.9999876888963283 0.9999890029226361; 0.9999997821379335 0.9999999776462237; 0.3078608549519757 -0.06621718954161654; -0.6159057254266275 0.9999953275334419; -0.9999952810734352 -0.8438400771655565]
36,8658,300,-53.027798516571565,[-0.47484472411475837 -1.0; -0.4748447201038682 -0.9999999999999999; 1.0 -0.9616893828658674; -0.9999999999999999 -0.47972820019599066; -1.0 0.9837458344131368; 0.9999962650251604 0.9948372816403162; -0.9619644122390456 0.9999999999999979; 0.11383924165884625 0.3111191418163381; -1.0 -0.47972820019599266; 0.9891932389945742 -0.9905144294701055; 0.287601907094527 0.08393262069764051; 0.9999995939612043 0.9999999999999952]
37,2484,300,-47.95429302902482,[-0.8794545897351196 0.999694235320196; 0.09004045284622125 0.009062334865344267; 0.9266682576890866 0.9999999999964523; 0.007593201219638079 -1.0; -0.9999999999996602 -0.8475062959133536; 0.999999999998589 0.7975757611632666; -0.9999999999999833 0.8645256667484481; 0.11863422966542457 1.0; 0.9131155500087436 -1.0; -0.5601739661179154 0.11048267713979518; -0.88580022711676 -0.99856638744777; 0.9999999999995507 -0.8202500708671114]
38,6313,300,-53.04698329323107,[1.0 -0.4773749736830402; -0.9999932368361797 0.9999999992021252; 0.9999999999999998 -0.4773749736830399; 0.9629117906439046 1.0; 0.9999999572591021 0.986774384414954; 0.47545258668837065 -1.0; -0.9999999999999996 -0.9629779006131084; 0.47545258668837886 -1.0; -0.12801046390821522 0.30845413656076465; -0.29737247295536406 0.109789569776089; -0.9999992721878329 0.9969311440015399; -0.9917661955988296 -0.9999341510534328]
39,4647,300,-47.189805638367645,[0.06909224400568677 0.1329325121249008; 0.8859574721023106 0.999999999999997; -0.9999999999999857 0.9111268359245595; 0.9999999999999977 -0.16254270359368667; -0.7011192841625558 -1.0; -0.0041163339821819545 0.6606758990943805; 0.9999999999999997 0.8956381329609878; -0.9999999999999997 -0.9162141083239012; 0.9999999999999981 -0.8644054540303886; -0.9991962289619913 0.9999999999999999; 0.7526514383760144 -1.0; -1.0 -0.3030476680886056]
40,4155,300,-45.81506514408742,[1.0 0.8575899818029228; 0.015372288795096186 -0.2697772801059757; -0.9999999999999994 -0.7969101478557725; 0.9999999999999998 -0.9902923629228702; -0.06500277111230383 -0.9999999999056575; 0.9061664560363841 -0.9999999999999954; -0.9999958557466656 -1.0; 0.8398673543742122 0.9999999999999998; 0.737704679925352 0.04446564948946842; -0.9999999999999999 0.5689666151995532; -0.45591178473698235 1.0; -0.9999998154666888 0.9999999999999994]
41,5242,300,-50.53958226812006,[0.153887253487911 0.9999999999997153; -0.976681599549277 0.985701023494854; 0.9999999997677043 -0.962787787263184; -0.29838677522883456 -0.13499598689315603; -0.9999999999997363 -0.9831599618066236; 0.9999999999987348 0.6563210776132355; -0.9999999999999619 0.9196103217119097; -0.3053476947152956 -0.14068758222098943; 0.3972899531620219 0.9999999999990562; -0.9999952689101708 -0.9999999999999782; 0.9999999998778387 0.6563210776313431; 0.9281593256907863 -0.9999999999973718]
42,10000,300,-46.59463952110677,[0.9999999999992918 -0.7659525385449631; 0.89004580823502 -0.9999999996127388; -0.020734513292445977 -0.15889238288908877; -0.9992388216468369 -1.0; 0.8936843230920416 0.9999999998936844; -0.9970555614393838 1.0; 0.08806254013199778 0.9999999999999666; -0.9999999961378147 -0.8647459041161577; -0.7090749799193706 0.018671498162288788; 0.9999999999999346 0.7676618025254929; -0.9999999999990175 0.9412597751608194; 0.12158779657651449 -0.9999999999861239]
43,4125,300,-52.44535085807477,[-0.9999999999542949 -0.5212453708222854; 0.3400485711139497 0.06564072990774719; 0.999999999998212 -0.9524166529639337; 0.9999999855968416 0.999999999863332; -0.4504973969266916 -0.9999999999132041; 0.9944869096009737 -0.9999270278687764; -0.9520559367027104 0.9999999992394951; -0.9999999998633093 0.9788263996205224; -0.9999999999834872 -0.5212453705140279; 0.1280629954652317 0.2419656663844378; 0.9999999999316574 0.9999056158026111; -0.4504973968423328 -0.9999999996766274]
