nPsoRun,n_iter,S,fgbest,optDes
27,1555,300,0.3998279365773215,[0.4871598338557114 -0.887034847678574; 0.9999999677137602 0.039477342038906925; -0.9999999164372376 1.0; 0.9999999833326585 0.9999999310623695; -0.04383602953944275 0.010762128111207641; 0.40101418330003064 0.9555498339854518; -0.04136848210393906 0.015221634926798382; -0.41177420058890735 0.9846297903035829; -0.9999999380655783 -0.016869181102071203; -0.38041179105926803 -0.9999999148441568; -0.9999998151068109 -0.9999999981801446; 0.9999999810981814 -0.9999999866829485]
28,1725,300,0.40011528598104196,[0.9999999996080093 0.0028994342866689726; -0.9999999936750539 -1.0; 0.9999998669888762 0.9999999967695546; 0.9999999937833738 -1.0; -0.01861404104827027 -0.025910449089767564; -0.33954980210679514 1.0; 0.3816318190411956 -0.9932727063557236; -0.9999999974487318 0.0540160161537536; -0.39843165011173864 -0.9994563933045545; 0.4351436269113717 0.9089844047849438; -0.9999999624982843 0.9999990926746103; -0.007525993247971032 -0.027247939857094363]
29,777,300,0.39996344331729544,[0.9999985183266523 0.9999993512775361; -0.9999975887637299 -0.9999980009513779; 0.999999282673108 -1.0; 0.030192693371742137 0.011734483779671349; -0.5595328684187643 -0.8259775120898162; 0.3738602822897776 -0.9999997290034727; 0.3959462575025158 0.9999999933106051; 0.9999992590809558 -0.0190428211115411; -0.9999954201881822 0.9999996048380209; 0.03650124392287068 0.003632941902367666; -0.999999992737165 0.07708023069144546; -0.3552597143890278 0.990605053668244]
30,1904,300,0.40478378746993027,[0.02422709503861701 0.04324289662496117; 0.02549538795879706 0.041185512644256926; 0.9999999535416482 0.9999998513426731; -0.9977602496894691 0.5012615440681334; -0.9999995198910072 -0.999999936623874; 0.9999999671379898 0.09894166721551799; -0.9999992400174372 0.9999997197809543; -0.2650308028435574 -0.9126488400531171; 0.43103222048879625 -0.9999992609646122; -0.9999999590152243 -0.2760716213736839; 0.999999776622376 -0.9998897514497395; 0.28830498196175075 0.9999999961739076]
31,1496,300,0.3976162259001783,[-0.038600991962366 -0.039111905892288315; -0.9999994694908615 0.37982966632386167; 1.0 0.26149264031916314; 0.9999997063089615 -0.9999994701494017; 0.9982969618484493 0.9999999982480379; -0.019766234267198004 -0.03954703373102981; 0.08891405652167181 0.9999970123024496; -0.9999998362914422 -0.9999970441679438; -0.020548173572619146 -0.023616349880472922; -0.9953461922115755 0.9999993560095671; 0.46398556222586507 -0.999999926783855; -0.5141078005600122 -0.9999966487558837]
32,1988,300,0.39575834289579526,[0.03638469222601608 0.026606514778359503; -0.4630087526796606 0.9999978986237714; 0.9999999229068787 -0.4902821705560033; -0.9999975780669845 0.9234683649432068; 0.9736568188604761 1.0; -0.22722902322470556 -0.9999999520534526; 0.043275598903719605 0.03219986631613703; -0.9999987224905568 -1.0; -0.9999990828115533 -0.19619804527407825; 0.9999533807738197 -0.9999994255942801; 0.04710441482289487 0.032901382679975145; 0.9999858296103281 0.5738637743555578]
33,1004,300,0.3949413241477919,[0.4926327683375308 -1.0; -0.9999999912645379 -0.600242985824688; 0.9999999956194285 0.2083069820188388; -0.9682545621120439 0.9999999878461734; -0.8917777718679204 -0.9999999957292429; -0.0421290259146783 -0.025854296277306038; -0.039210622800785154 -0.018808912952471567; -0.9999998056023754 0.5220315423381008; 0.9999999652225634 -0.9005913139973283; 0.9999997115184573 0.9999999954728832; 0.26140930691650766 0.9999999925176484; -0.033929326060112064 -0.02186424513671549]
34,999,300,0.39654189597831385,[0.04776602556951687 0.0008904581761516943; 0.05816501425950629 0.010134203459033351; 0.05120454902878441 0.0030619661809075083; -0.721536063117111 -0.9999859260933602; -0.6773538959343695 1.0; -1.0 0.605306357824063; 0.40275211700548014 -0.9999983237740057; 0.9999972372345692 -0.075583110790076; 0.47581435450878945 0.999999834129938; -0.9999970642635977 -0.573618681298617; 0.9999861352737514 -0.999165847639104; 0.9999842070103916 1.0]
35,954,300,0.3957186840646794,[-0.9999971475170533 0.43574498549729584; 0.1366563047719366 0.999997870921482; -0.9999878255392294 -0.993667314165916; 0.999985432623993 -0.9999825205668043; -0.8956763717245579 0.9999901300583464; -0.029629068959515354 -0.06289324451815846; 0.9999999946074991 0.2814121074584277; -0.026201576954468335 -0.05960938220061735; -0.5624233902595668 -0.9999845748699366; -0.009862515195093608 -0.043001612233161235; 0.9999454848977545 0.9999716418665798; 0.5126906985765014 -0.9999793364377021]
36,3114,300,0.40096267864434276,[-0.2871828570893168 -0.9999998966818985; -0.9999999999679301 -0.9999999943260729; -0.9999999985083249 0.9999999966297226; -0.46148008984817096 0.9999928918373279; 0.5078005827891305 -0.794239786997088; 0.9999999999191952 -0.9999981922674853; 0.43558783751463803 0.9973459422839721; -0.04468301038650921 0.0733450270676536; -0.9999997837082565 -0.1540266894666919; 0.9999999995206456 0.9999999999533766; 0.9999989756769384 -0.07011173665832564; -0.047820175436898225 0.07188213532708355]
37,442,300,0.3956751841085611,[0.9999914336172687 0.5001579108459715; 0.05240527877436309 -0.03770195166110224; -0.9990801065874183 -0.9196804693701278; -0.9995279027131102 1.0; 0.06574879883085093 -0.0011023495720793438; 0.9999939002437089 -0.5773357914448161; -0.24414074071462497 1.0; 0.9999736852959793 0.999834127934811; -0.0005027729755798004 -0.04495900720121235; -0.4659474213773424 -0.9999293576225644; -0.9999999882688593 0.19033527320486063; 0.9343829359296136 -0.9998945171482231]
38,2626,300,0.3933634041617393,[-0.9159617755700795 -0.999999947270798; 0.5289118277434589 0.9999999994006743; 0.38306102745892556 -0.9999999999523723; -0.037889291608936115 -0.006609656664662861; 0.999999979004132 -0.9999960818151898; -0.037704932767805344 -0.00233871229558608; -0.041479944472907516 -0.00025459478001894334; -0.7096716211553282 0.9999997360441434; 0.9999983916924672 0.821402640942576; -0.9999999872174721 -0.6054776307996836; -0.9999958616061038 0.6498162500748754; 1.0 -0.1658709235092568]
39,1152,300,0.400579814897128,[0.0062874730020259974 -0.020583344336054007; -0.016113528901283175 0.9999993850588185; 0.008533936228317055 -0.017576351341714966; -0.9999979538903374 0.9999957690426604; 0.9999973877613061 -0.9999955393345837; -0.053327337412407146 -0.9998789338102879; 0.9509196906681212 0.40642566647181866; 0.9997499184248513 -0.3912214159515051; -0.9917505551386501 -0.3356411420776119; -0.9999734991301499 0.3466940155667014; 0.9999973823737843 0.9999995006636625; -0.9999900445416942 -0.9999954376171484]
40,1462,300,0.3959279585768975,[-0.5322703398070315 0.9999997704625743; -0.0015744017226775049 0.058713220908512075; -1.0 -0.3440503240832852; -0.9999996743476669 0.9999947477013119; -0.001534390212523663 0.05877676969233476; 0.9317951265940639 -0.9999999875665679; -0.03985530226692707 -0.9999999774103353; -0.9543043163892808 -0.9999999996098113; 0.01924132119978306 0.06265575961052894; 0.9999998057867486 -0.3891749233685437; 0.9999999416450857 0.9999952562549991; 0.5468611081584664 1.0]
41,1115,300,0.4004031113276175,[0.38034367341041053 -0.9999999397613424; 0.9999999284649138 -0.999999853002679; 0.005840758047381452 0.003295645001201861; 0.342380525346259 0.9999896383143323; 0.9999999274440553 0.9999998224985008; -0.9999999972928171 0.010691400799587482; -0.9999998751938746 -0.9999998853606528; 0.9999999537148907 0.032733742515415616; -0.41212308270647674 -0.9425557839518058; -0.3572492697054408 0.9958467191558442; -0.9999999654184014 0.9999999901324023; 0.018401593835471696 -0.0021208159305878102]
42,2763,300,0.39550420700193206,[-0.9999999494836401 -0.8772417657642296; 0.056755842791942554 -0.018866833331855966; -1.0 0.9999998036369868; -0.2966196140290291 0.999998735431224; 0.055064259107586624 -0.025473421608719536; 0.9999987579653744 0.5239795510979823; 0.06064723982248196 -0.00503471401090073; 0.9999999998964886 0.9999997163777632; 0.9999977844654788 -0.5663765553898898; -0.9999999355255027 0.1300623474957624; -0.4372944039424365 -0.9999991297607691; 0.9989811944411249 -0.9999999997790887]
43,2600,300,0.39705158105938915,[0.019157654929010406 0.040927482365119276; -0.4752725449189788 0.9999999493334303; 0.00813692926386781 0.044804500480028826; -0.9999999778543358 0.9999981130294916; -1.0 -0.25951648263045357; 1.0 -0.3981216802738832; -0.1110358243469003 -0.9999998939959109; 1.0 0.9999978240351663; 0.5281392311990571 0.999999926022564; 0.9691541304378486 -0.9999987027053322; -0.9998639999523444 -0.9999996632949844; 0.029562603475841106 0.03638306118968373]
44,1528,300,0.39978760198836016,[-0.3967557698287162 0.9999998150941676; -0.42909105348306115 -0.9273774192953184; -0.9999999397346425 0.9999999948133613; 0.9999999988499951 0.9999999953773787; 0.9999996796999946 -0.07840839029301477; 0.5073614169264099 0.8916371431766211; -0.0020321997745699743 0.012898725393348288; 0.3464376004222218 -0.9999998053284657; -0.9999999987127824 -0.9999999725288713; 0.999999990529914 -0.9999998982213798; -0.002541735857068626 0.014889029696665274; -0.9999999558701517 -0.015884158145483468]
45,716,300,0.39408730407783865,[-0.6535534956425519 -0.9999915258197036; -0.022822517449701426 -0.011676227630555364; 0.9181124153347433 1.0; 0.12436160090610848 0.9999902145871404; -0.026326301302560487 -0.012728863523199211; -0.9436253568183715 0.9999993963931578; 0.6058607111413246 -0.999999481290025; -0.999995519059765 0.5243039923467465; 0.9999998984367832 -0.7832622139907233; 0.9999999991587658 0.3913579827623603; -0.016077300197349438 -0.02585901397795121; -0.9999970882153786 -0.69245395297508]
46,3097,300,0.39466791012127045,[0.9999999602168743 -0.9999999747972329; -0.0234791200995031 0.0281878178912695; -0.024168168153120315 0.02790309833852746; -0.9184762432624526 -0.9999999248795013; 0.9999999985803296 -0.25784164034324353; 0.5268599743494268 0.9999999995832098; -0.9999998504100016 -0.5127270718617238; 0.23142055477293583 -0.9999997871053468; -0.9999998837240348 0.8133216425372961; -0.015741086735822862 0.029896161147831776; 0.9999999998807373 0.9471394217250853; -0.616060571059441 0.999999988698083]
47,1388,300,0.40428358637629025,[-0.07738283528929855 -0.01618900604211901; 0.22856453281388095 0.8621253024629999; -0.19644689244919752 -0.999999926772045; -0.4941580928027902 0.9999998970988915; -0.03074351030227184 -0.026899716223280426; -0.9999999998812386 -0.9999972282813441; -0.999999999659671 0.9994843763836369; 0.9999999999942327 -0.9999999998325098; -0.9999999999871356 -0.22451842345232004; 0.9999999999497065 0.9999999630502074; 0.9999999841006534 -0.47092426098345364; 0.9999997348450914 0.3727300922656685]
48,2623,300,0.39506277503328024,[-0.9999999979090128 0.2157161065651837; 0.9770312027301322 1.0; 0.034231714152230835 -0.012230265997443783; 0.8491979761852608 -0.9999998979041137; 0.9999999985956117 0.5157489956248854; -0.9999999997033708 -0.9282968356644862; 0.9999992978824621 -0.5984094301925078; -0.49337083314418817 -0.9999996012710882; 0.027864983289796395 -0.012493766567506786; -0.2531457852817151 0.999999898347968; -0.9999999603179415 0.9999999999960573; 0.024843376092844385 -0.013613727683932009]
49,1183,300,0.39470203702327894,[-0.0333730466181465 -0.010268435790465207; 0.5522199423138827 0.9999979354179203; -0.6574934337577533 0.9999993968177818; -0.9999999782072817 -0.551429405515899; 0.9999994536169821 -0.2813381304198265; 0.24378056051009833 -0.9999999833584111; 0.9546052521621435 -0.9999984676404916; 1.0 0.8542820656670679; -0.020787299792398368 -0.0062495178880506335; -0.030583436514323745 -0.027871029068462644; -0.9999999558576467 -0.999999954728742; -0.9999998872847079 0.6502794587263746]
50,848,300,0.3945182737466554,[0.5006696581321369 -0.9999993694290251; 0.9999999769027527 0.2017847334111913; 0.2937883835497648 0.9999990672222541; -0.999982847132632 -0.6095333918551932; -0.9789907930754586 0.999971848721352; 0.9999637235980551 0.9998913092129541; -0.0517246920618804 0.0027003512573256314; -0.8287414112198226 -1.0; -0.03923357614907043 0.004853259452753323; -0.9999962690661057 0.5464021712313801; 0.9999998241133204 -0.8830140710148301; -0.037191525354827684 0.009070211684281118]
51,919,300,0.3962537447366873,[-0.9999988276290538 -0.9147160338359216; -0.3800309789360985 1.0; 0.9891961325871754 -0.9999994476362342; 0.9999946317210203 1.0; 0.9999622264383079 0.541424556360696; 0.029146569904272855 0.021046309032851474; -0.9999953226904662 -0.015062627557666559; 0.058212534989385306 0.023126145174662268; -0.34856971062816877 -0.9999992648810475; 0.0412410313393365 -0.015934523265881365; 0.9999938166986209 -0.5242142075692812; -0.9999650296352155 0.9931423474540368]
52,2361,300,0.3952688565658739,[0.2506295583329595 -0.9999999979986198; 0.47406285731283637 0.9999999970189816; -0.9148482496025453 0.9999999957273276; -0.9999801786256883 -0.999999997780461; 0.9999999977841248 -0.19756960093014694; -0.04261490177792496 0.018910706527743945; -0.0413117503919152 0.004462669384321806; -0.03825663336539129 0.014716217453864132; -1.0 0.5835816279051279; -0.9999999994971368 -0.5094909080609179; 0.9999999972166397 -0.9999999973306616; 0.9999999947352178 0.915858956873119]
53,328,300,0.39679856301726735,[0.9999587331867179 -0.502615286265022; 0.01805115922355973 0.008107320556770931; 0.99527350332829 -1.0; 0.03222590718571648 0.04675744351652409; -0.3983387270413677 0.9999799771893517; -0.9994298036395713 -0.9646898626546845; 0.05957743192085246 0.00012591184397070185; 0.9641518744114908 0.9994661377382892; 0.999970276612471 0.5380172786116582; -0.9999943482292403 -0.07227919471489083; -0.9999999921388347 0.9768167164985242; -0.30650627080036047 -1.0]
54,2508,300,0.40014929319594617,[-0.9999999999896291 -0.9999999999679173; 0.3339026091861748 -0.9939840071450798; -0.34543388087733434 -0.9999998785413984; -0.010591553858680424 0.011460231625863713; -0.9999999996112752 0.9999999998702863; -0.015556465882648774 0.010056862981783847; 0.49030485709583954 0.8948106731161962; -0.39137374069542685 0.9999999572930316; -1.0 -0.03708491638412843; 0.9999999959542376 0.9999999995294991; 0.9999999999768269 -0.9999999997556004; 0.999999999124862 -0.07209091618229793]
55,1308,300,0.39986633600868315,[-0.9999997720669532 0.999998614719015; 0.9999968621645964 -1.0; -0.008477364929813313 -0.026838261736918785; 0.9971557270735937 -0.3584578434837811; -0.9999435935328216 -0.40329314179113995; 0.9650134027185503 0.3906262345952227; -0.9999977614299619 -0.9999994078924738; -0.8904581249260448 0.48386936984524537; 0.9999997324976406 1.0; 0.029486056675622537 0.9999956187051876; -0.00982906599694394 -0.026303149466634902; 0.04357132423030443 -1.0]
56,1473,300,0.3976876119944242,[-0.9999999118193178 -0.9999999363185901; -0.3674090163508451 -0.9999999119689286; -0.9999998705765016 0.999997586490016; 0.02496476733156977 -0.012511296606406125; -0.2854415940095707 0.9999999965426196; -0.9999999470974289 0.06433004577936234; 0.9999998223205059 0.47302251244450416; 0.9788157959766275 -0.9999999994624339; 0.9999993458179482 0.999999871397912; 0.02858900326442731 -0.008027583173363778; 0.023987497366801298 -0.019094358250410455; 0.999998553414957 -0.5063974529333752]
